Date,Close,CVS
20/02/2008,40.51,0.010920933
19/02/2008,40.07,0.008773085
15/02/2008,39.72,-0.002514459
14/02/2008,39.82,-0.022350074
13/02/2008,40.72,0.008880177
12/02/2008,40.36,0.004718747
11/02/2008,40.17,0.015301942
08/02/2008,39.56,0.010162689
07/02/2008,39.16,0.02090129
06/02/2008,38.35,0.009168368
05/02/2008,38,-0.032365285
04/02/2008,39.25,-0.01642488
01/02/2008,39.9,0.025125037
31/01/2008,38.91,0.077176947
30/01/2008,36.02,-0.008018846
29/01/2008,36.31,0.022842219
28/01/2008,35.49,-0.001970444
25/01/2008,35.56,-0.017561427
24/01/2008,36.19,-0.024564554
23/01/2008,37.09,-0.005109598
22/01/2008,37.28,0.00970358
18/01/2008,36.92,-0.001353363
17/01/2008,36.97,-0.003510197
16/01/2008,37.1,0.02954263
15/01/2008,36.02,-0.008569506
14/01/2008,36.33,-0.012038449
11/01/2008,36.77,-0.023119309
10/01/2008,37.63,0.011761697
09/01/2008,37.19,-0.009100705
08/01/2008,37.53,-0.017694902
07/01/2008,38.2,0.024646802
04/01/2008,37.27,0.013506418
03/01/2008,36.77,-0.06781368
02/01/2008,39.35,-0.010113866
31/12/2007,39.75,-0.006269613
28/12/2007,40,0.008536331
27/12/2007,39.66,-0.003523789
26/12/2007,39.8,-0.003261009
24/12/2007,39.93,0.007036973
21/12/2007,39.65,0.020640305
20/12/2007,38.84,-0.016596832
19/12/2007,39.49,0.008902513
18/12/2007,39.14,0.000255526
17/12/2007,39.13,-0.001787311
14/12/2007,39.2,-0.011666376
13/12/2007,39.66,-0.00302115
12/12/2007,39.78,-0.002259888
11/12/2007,39.87,-0.003505261
10/12/2007,40.01,-0.000749532
07/12/2007,40.04,0.004756549
06/12/2007,39.85,0.017211258
05/12/2007,39.17,0.002812222
04/12/2007,39.06,-0.021527994
03/12/2007,39.91,-0.004500008
30/11/2007,40.09,0.000748596
29/11/2007,40.06,-0.035315097
28/11/2007,41.5,0.008226516
27/11/2007,41.16,0.00291971
26/11/2007,41.04,-0.021692825
23/11/2007,41.94,0.027067868
21/11/2007,40.82,-0.01652127
20/11/2007,41.5,-0.009114959
19/11/2007,41.88,-0.007848774
16/11/2007,42.21,0.004511464
15/11/2007,42.02,0.005249356
14/11/2007,41.8,-0.010708014
13/11/2007,42.25,0.019599098
12/11/2007,41.43,-0.00313291
09/11/2007,41.56,-0.014333738
08/11/2007,42.16,0.01241066
07/11/2007,41.64,-0.00431345
06/11/2007,41.82,0.011302273
05/11/2007,41.35,-0.00962703
02/11/2007,41.75,0.017395945
01/11/2007,41.03,-0.015237929
31/10/2007,41.66,0.01086049
30/10/2007,41.21,-0.01493284
29/10/2007,41.83,0.009849929
26/10/2007,41.42,0.010679713
25/10/2007,40.98,0.016236519
24/10/2007,40.32,0.005221944
23/10/2007,40.11,0.009770841
22/10/2007,39.72,0.014709877
19/10/2007,39.14,-0.025228381
18/10/2007,40.14,0.010266774
17/10/2007,39.73,-0.001006289
16/10/2007,39.77,-0.004515813
15/10/2007,39.95,0.001252348
12/10/2007,39.9,0.007042283
11/10/2007,39.62,0.019625964
10/10/2007,38.85,-0.005646832
09/10/2007,39.07,-0.002556239
08/10/2007,39.17,0.005889148
05/10/2007,38.94,0.007216526
04/10/2007,38.66,0.009616708
03/10/2007,38.29,-0.004429975
02/10/2007,38.46,0.034654969
01/10/2007,37.15,-0.064622636
28/09/2007,39.63,0.000757289
27/09/2007,39.6,0.010407506
26/09/2007,39.19,0.007941633
25/09/2007,38.88,0.019478606
24/09/2007,38.13,0.007898935
21/09/2007,37.83,0.000528821
20/09/2007,37.81,-0.008427756
19/09/2007,38.13,0.003415214
18/09/2007,38,0.015915455
17/09/2007,37.4,-0.011431734
14/09/2007,37.83,0.001852097
13/09/2007,37.76,0.011988954
12/09/2007,37.31,-0.002676661
11/09/2007,37.41,0.00751278
10/09/2007,37.13,-0.00161464
07/09/2007,37.19,-0.019438769
06/09/2007,37.92,-0.001581028
05/09/2007,37.98,-0.007867861
04/09/2007,38.28,0.012089503
31/08/2007,37.82,0.015454611
30/08/2007,37.24,-0.003217161
29/08/2007,37.36,0.021372381
28/08/2007,36.57,-0.003003415
27/08/2007,36.68,-0.003266198
24/08/2007,36.8,-0.000543331
23/08/2007,36.82,-0.004876737
22/08/2007,37,0.00923167
21/08/2007,36.66,0.001911263
20/08/2007,36.59,-0.006266197
17/08/2007,36.82,0.008728915
16/08/2007,36.5,-0.005464494
15/08/2007,36.7,-0.017556157
14/08/2007,37.35,-0.015409444
13/08/2007,37.93,-0.001843804
10/08/2007,38,0.008191352
09/08/2007,37.69,-0.026186361
08/08/2007,38.69,0.015104454
07/08/2007,38.11,0.021751521
06/08/2007,37.29,0.023332583
03/08/2007,36.43,-0.009833458
02/08/2007,36.79,0.034567246
01/08/2007,35.54,0.009896871
31/07/2007,35.19,0.001991183
30/07/2007,35.12,-0.000569314
27/07/2007,35.14,-0.012443599
26/07/2007,35.58,-0.02388339
25/07/2007,36.44,0.014372829
24/07/2007,35.92,-0.00361262
23/07/2007,36.05,0.010877251
20/07/2007,35.66,-0.000840925
19/07/2007,35.69,-0.011422328
18/07/2007,36.1,0.00083137
17/07/2007,36.07,-0.003321343
16/07/2007,36.19,-0.004686432
13/07/2007,36.36,-0.004390786
12/07/2007,36.52,0.009353576
11/07/2007,36.18,0.001382935
10/07/2007,36.13,-0.014289883
09/07/2007,36.65,-0.002996869
06/07/2007,36.76,0.006002747
05/07/2007,36.54,0
03/07/2007,36.54,0
02/07/2007,36.54,0.002466092
29/06/2007,36.45,-0.002739728
28/06/2007,36.55,-0.000547046
27/06/2007,36.57,0.019605764
26/06/2007,35.86,-0.012470717
25/06/2007,36.31,-0.006588001
22/06/2007,36.55,-0.015474722
21/06/2007,37.12,0.002157498
20/06/2007,37.04,-0.012875714
19/06/2007,37.52,0.004808986
18/06/2007,37.34,-0.007736466
15/06/2007,37.63,0.009881239
14/06/2007,37.26,-0.003750339
13/06/2007,37.4,0.006706933
12/06/2007,37.15,-0.008042939
11/06/2007,37.45,-0.010888436
08/06/2007,37.86,0.007689286
07/06/2007,37.57,0.008553915
06/06/2007,37.25,-0.014657158
05/06/2007,37.8,-0.010264599
04/06/2007,38.19,-0.009382399
01/06/2007,38.55,0.000259437
31/05/2007,38.54,-0.008526082
30/05/2007,38.87,0
29/05/2007,38.87,-0.005388082
25/05/2007,39.08,0.020422062
24/05/2007,38.29,0.004974483
23/05/2007,38.1,0.013742288
22/05/2007,37.58,-0.005837109
21/05/2007,37.8,-0.017309638
18/05/2007,38.46,0.010454878
17/05/2007,38.06,-0.001575217
16/05/2007,38.12,0.014533219
15/05/2007,37.57,0.005872948
14/05/2007,37.35,0.001071524
11/05/2007,37.31,-0.004279226
10/05/2007,37.47,-0.014571724
09/05/2007,38.02,0.026924191
08/05/2007,37.01,0.024341418
07/05/2007,36.12,0.004995847
04/05/2007,35.94,-0.004718954
03/05/2007,36.11,-0.006074011
02/05/2007,36.33,0.009402724
01/05/2007,35.99,-0.006922359
30/04/2007,36.24,-0.013430379
27/04/2007,36.73,-0.003533092
26/04/2007,36.86,0.004895305
25/04/2007,36.68,-0.00081755
24/04/2007,36.71,0.045133008
23/04/2007,35.09,0.003425639
20/04/2007,34.97,0.00171723
19/04/2007,34.91,0.009787067
18/04/2007,34.57,-0.004329636
17/04/2007,34.72,-0.006602579
16/04/2007,34.95,-0.005136998
13/04/2007,35.13,0.002850629
12/04/2007,35.03,0.000571102
11/04/2007,35.01,0.000285673
10/04/2007,35,0.002861232
09/04/2007,34.9,0.004882962
05/04/2007,34.73,0.004039244
04/04/2007,34.59,0.008710856
03/04/2007,34.29,-0.003784024
02/04/2007,34.42,0.008168073
30/03/2007,34.14,-0.000585652
29/03/2007,34.16,0.006166515
28/03/2007,33.95,-0.012295237
27/03/2007,34.37,-0.007247459
26/03/2007,34.62,0.001445296
23/03/2007,34.57,0.007549397
22/03/2007,34.31,-0.010437903
21/03/2007,34.67,0.029267527
20/03/2007,33.67,0.015866221
19/03/2007,33.14,0.006053287
16/03/2007,32.94,-0.012070153
15/03/2007,33.34,0.031381097
14/03/2007,32.31,0.01277077
13/03/2007,31.9,-0.002504698
12/03/2007,31.98,-0.019201581
09/03/2007,32.6,0.005845271
08/03/2007,32.41,0.034210146
07/03/2007,31.32,0.000638774
06/03/2007,31.3,0.016428136
05/03/2007,30.79,-0.004859883
02/03/2007,30.94,-0.012845392
01/03/2007,31.34,-0.002549396
