Date,Close,SPG
20/02/2008,84.97,0.019009721
19/02/2008,83.37,-0.013581338
15/02/2008,84.51,-0.000827961
14/02/2008,84.58,-0.007068832
13/02/2008,85.18,-0.010394254
12/02/2008,86.07,0.029117399
11/02/2008,83.6,-0.003105222
08/02/2008,83.86,-0.043175531
07/02/2008,87.56,0.016931012
06/02/2008,86.09,-0.032118882
05/02/2008,88.9,-0.05748332
04/02/2008,94.16,-0.014130785
01/02/2008,95.5,0.066229304
31/01/2008,89.38,0.028714451
30/01/2008,86.85,-0.009967431
29/01/2008,87.72,-0.009756175
28/01/2008,88.58,0.022721763
25/01/2008,86.59,-0.013877165
24/01/2008,87.8,-0.026857056
23/01/2008,90.19,0.07599466
22/01/2008,83.59,0.066654248
18/01/2008,78.2,-0.016990392
17/01/2008,79.54,-0.00988311
16/01/2008,80.33,0.014545711
15/01/2008,79.17,-0.031334156
14/01/2008,81.69,-0.004153439
11/01/2008,82.03,0.003541556
10/01/2008,81.74,0.024646736
09/01/2008,79.75,0.030168392
08/01/2008,77.38,-0.048433173
07/01/2008,81.22,0.020650068
04/01/2008,79.56,-0.053471664
03/01/2008,83.93,-0.022967855
02/01/2008,85.88,-0.011346654
31/12/2007,86.86,-0.00264444
28/12/2007,87.09,-0.013004975
27/12/2007,88.23,-0.034313269
26/12/2007,91.31,-0.025944597
24/12/2007,93.71,0.039284743
21/12/2007,90.1,0.017917613
20/12/2007,88.5,-0.00955869
19/12/2007,89.35,-0.004800992
18/12/2007,89.78,0.011651487
17/12/2007,88.74,-0.038032441
14/12/2007,92.18,-0.028764346
13/12/2007,94.87,-0.012257238
12/12/2007,96.04,0.017223698
11/12/2007,94.4,-0.057629113
10/12/2007,100,0.024087796
07/12/2007,97.62,-0.0204813
06/12/2007,99.64,0.025307515
05/12/2007,97.15,0.028291464
04/12/2007,94.44,-0.029217437
03/12/2007,97.24,-0.012366656
30/11/2007,98.45,0.03136541
29/11/2007,95.41,0
28/11/2007,95.41,0.050846569
27/11/2007,90.68,0.052524521
26/11/2007,86.04,-0.053296169
23/11/2007,90.75,0.011303312
21/11/2007,89.73,0.008505927
20/11/2007,88.97,-0.025084556
19/11/2007,91.23,-0.033203438
16/11/2007,94.31,-0.025853133
15/11/2007,96.78,-0.009563547
14/11/2007,97.71,-0.014125533
13/11/2007,99.1,0.056458238
12/11/2007,93.66,0.009655691
09/11/2007,92.76,-0.02470313
08/11/2007,95.08,0.004321482
07/11/2007,94.67,-0.042801654
06/11/2007,98.81,0.008027275
05/11/2007,98.02,-0.01166401
02/11/2007,99.17,-0.012525841
01/11/2007,100.42,-0.038197562
31/10/2007,104.33,0.018769901
30/10/2007,102.39,0.030744191
29/10/2007,99.29,0.008191379
26/10/2007,98.48,0.000101549
25/10/2007,98.47,0.007031876
24/10/2007,97.78,-0.008452619
23/10/2007,98.61,0.010090286
22/10/2007,97.62,0.013094996
19/10/2007,96.35,-0.041573139
18/10/2007,100.44,0.006793233
17/10/2007,99.76,0.002107271
16/10/2007,99.55,-0.015252252
15/10/2007,101.08,-0.032604708
12/10/2007,104.43,-0.004109137
11/10/2007,104.86,-0.016551189
10/10/2007,106.61,-0.004118699
09/10/2007,107.05,0.014300742
08/10/2007,105.53,-0.027293965
05/10/2007,108.45,0.019365655
04/10/2007,106.37,0.016302133
03/10/2007,104.65,-0.003338901
02/10/2007,105,0.030361029
01/10/2007,101.86,0.018429135
28/09/2007,100,0.00060018
27/09/2007,99.94,0.009652196
26/09/2007,98.98,0.006893782
25/09/2007,98.3,-0.036262276
24/09/2007,101.93,0.020416963
21/09/2007,99.87,0.003008426
20/09/2007,99.57,-0.018606576
19/09/2007,101.44,0.017000956
18/09/2007,99.73,0.046906849
17/09/2007,95.16,-0.010453785
14/09/2007,96.16,-0.001247142
13/09/2007,96.28,0.013910176
12/09/2007,94.95,0.010587711
11/09/2007,93.95,0.020974149
10/09/2007,92,-0.001303498
07/09/2007,92.12,-0.03351792
06/09/2007,95.26,0.012251949
05/09/2007,94.1,-0.03374922
04/09/2007,97.33,0.025072835
31/08/2007,94.92,0.024421368
30/08/2007,92.63,0.017314093
29/08/2007,91.04,0.035099166
28/08/2007,87.9,-0.044065874
27/08/2007,91.86,-0.023348201
24/08/2007,94.03,-0.009525898
23/08/2007,94.93,-0.014328541
22/08/2007,96.3,0.019927246
21/08/2007,94.4,0.007976644
20/08/2007,93.65,0.022897641
17/08/2007,91.53,0.040808338
16/08/2007,87.87,0.025122317
15/08/2007,85.69,-0.037563102
14/08/2007,88.97,-0.026399049
13/08/2007,91.35,0.003948672
10/08/2007,90.99,-0.053911032
09/08/2007,96.03,0.010362787
08/08/2007,95.04,0.06588623
07/08/2007,88.98,0.008464584
06/08/2007,88.23,0.036942906
03/08/2007,85.03,-0.026804413
02/08/2007,87.34,0.007239331
01/08/2007,86.71,0.002078043
31/07/2007,86.53,0.00208237
30/07/2007,86.35,0.016934711
27/07/2007,84.9,-0.031649312
26/07/2007,87.63,-0.017196939
25/07/2007,89.15,-0.002912188
24/07/2007,89.41,-0.015316615
23/07/2007,90.79,-0.009536932
20/07/2007,91.66,-0.025421447
19/07/2007,94.02,0.007794605
18/07/2007,93.29,-0.003424294
17/07/2007,93.61,-0.008191971
16/07/2007,94.38,0.001166181
13/07/2007,94.27,0.01463936
12/07/2007,92.9,0.018030248
11/07/2007,91.24,-0.006227827
10/07/2007,91.81,-0.040765354
09/07/2007,95.63,-0.003236418
06/07/2007,95.94,-0.007786988
05/07/2007,96.69,0.015319981
03/07/2007,95.22,-0.013560237
02/07/2007,96.52,0.036720733
29/06/2007,93.04,-0.014617492
28/06/2007,94.41,-0.018886303
27/06/2007,96.21,0.037056961
26/06/2007,92.71,-0.000970298
25/06/2007,92.8,-0.022903797
22/06/2007,94.95,-0.009434032
21/06/2007,95.85,0.000730575
20/06/2007,95.78,-0.020256997
19/06/2007,97.74,0.0103873
