Date,Close,T
20/02/2008,34.36,-0.043565608
19/02/2008,35.89,-0.053964563
15/02/2008,37.88,0.001056524
14/02/2008,37.84,-0.021697361
13/02/2008,38.67,0.030456542
12/02/2008,37.51,0.017209352
11/02/2008,36.87,0.013653953
08/02/2008,36.37,-0.017173654
07/02/2008,37,0.016349138
06/02/2008,36.4,-0.009025085
05/02/2008,36.73,-0.038193987
04/02/2008,38.16,-0.00313972
01/02/2008,38.28,-0.005470901
31/01/2008,38.49,0.030065556
30/01/2008,37.35,-0.014354313
29/01/2008,37.89,0.04011845
28/01/2008,36.4,0.031819598
25/01/2008,35.26,-0.013801092
24/01/2008,35.75,-0.025953969
23/01/2008,36.69,0.020097029
22/01/2008,35.96,-0.004162626
18/01/2008,36.11,-0.032423491
17/01/2008,37.3,-0.015165915
16/01/2008,37.87,0.006357637
15/01/2008,37.63,-0.023116343
14/01/2008,38.51,0.008082432
11/01/2008,38.2,-0.030930301
10/01/2008,39.4,0.01020417
09/01/2008,39,-0.004094172
08/01/2008,39.16,-0.056349438
07/01/2008,41.43,0.013119722
04/01/2008,40.89,-0.012153771
03/01/2008,41.39,0.009467239
02/01/2008,41,-0.0135661
31/12/2007,41.56,-0.020953148
28/12/2007,42.44,0.009945618
27/12/2007,42.02,-0.006641391
26/12/2007,42.3,0.019093659
24/12/2007,41.5,0.000482044
21/12/2007,41.48,0.029852963
20/12/2007,40.26,0.007980092
19/12/2007,39.94,-0.016389739
18/12/2007,40.6,0.002466092
17/12/2007,40.5,-0.01567891
14/12/2007,41.14,-0.015915455
13/12/2007,41.8,0.002155431
12/12/2007,41.71,0.055453408
11/12/2007,39.46,0.040336389
10/12/2007,37.9,-0.014927605
07/12/2007,38.47,-0.009056861
06/12/2007,38.82,0.01035742
05/12/2007,38.42,0.014683012
04/12/2007,37.86,-0.011032421
03/12/2007,38.28,0.001830305
30/11/2007,38.21,0.00472194
29/11/2007,38.03,0.014034389
28/11/2007,37.5,0.020747073
27/11/2007,36.73,0.010399656
26/11/2007,36.35,-0.034607401
23/11/2007,37.63,0.004794895
21/11/2007,37.45,-0.015368612
20/11/2007,38.03,0.007389846
19/11/2007,37.75,-0.046580219
16/11/2007,39.55,0.004561589
15/11/2007,39.37,0.000762292
14/11/2007,39.34,-0.012880592
13/11/2007,39.85,0.03057563
12/11/2007,38.65,-0.014129972
09/11/2007,39.2,-0.003565066
08/11/2007,39.34,0.017436339
07/11/2007,38.66,-0.035073481
06/11/2007,40.04,0
05/11/2007,40.04,-0.009445758
02/11/2007,40.42,-0.00098912
01/11/2007,40.46,-0.032343245
31/10/2007,41.79,0.009134679
30/10/2007,41.41,-0.007937504
29/10/2007,41.74,0.006730795
26/10/2007,41.46,0.01115704
25/10/2007,41,-0.013325455
24/10/2007,41.55,-0.011248174
23/10/2007,42.02,0.02043586
22/10/2007,41.17,-0.004846145
19/10/2007,41.37,-0.010579565
18/10/2007,41.81,-0.002866016
17/10/2007,41.93,0.002626867
16/10/2007,41.82,-0.008808532
15/10/2007,42.19,-0.002367425
12/10/2007,42.29,0.016210128
11/10/2007,41.61,-0.003358928
10/10/2007,41.75,-0.005493863
09/10/2007,41.98,0.001191753
08/10/2007,41.93,-0.004995847
05/10/2007,42.14,0.003565914
04/10/2007,41.99,0.001668455
03/10/2007,41.92,-0.011621143
02/10/2007,42.41,0.004253315
01/10/2007,42.23,-0.001892596
28/09/2007,42.31,-0.012215327
27/09/2007,42.83,0
26/09/2007,42.83,0.006089012
25/09/2007,42.57,0.007072165
24/09/2007,42.27,-0.006132095
21/09/2007,42.53,0.01182606
20/09/2007,42.03,0.010764367
19/09/2007,41.58,0.018202177
18/09/2007,40.83,0.020537651
