Date,Close,UNH
20/02/2008,48.1,0.000415887
19/02/2008,48.08,0.007096669
15/02/2008,47.74,0.023954511
14/02/2008,46.61,-0.00769399
13/02/2008,46.97,-0.02730115
12/02/2008,48.27,0.001036377
11/02/2008,48.22,0.000414852
08/02/2008,48.2,-0.017073335
07/02/2008,49.03,-0.007113128
06/02/2008,49.38,-0.00040494
05/02/2008,49.4,-0.010070579
04/02/2008,49.9,-0.004000005
01/02/2008,50.1,-0.014662438
31/01/2008,50.84,0.01346555
30/01/2008,50.16,-0.01228468
29/01/2008,50.78,-0.023741142
28/01/2008,52,0.039220713
25/01/2008,50,0.003606496
24/01/2008,49.82,-0.010582109
23/01/2008,50.35,-0.017131462
22/01/2008,51.22,-0.060234073
18/01/2008,54.4,0.000735565
17/01/2008,54.36,-0.01678259
16/01/2008,55.28,0.005987499
15/01/2008,54.95,-0.008516859
14/01/2008,55.42,-0.008802716
11/01/2008,55.91,-0.003214288
10/01/2008,56.09,-0.001781262
09/01/2008,56.19,-0.000355872
08/01/2008,56.21,-0.011849108
07/01/2008,56.88,0.015592095
04/01/2008,56,-0.016470752
03/01/2008,56.93,0.004577473
02/01/2008,56.67,-0.026640385
31/12/2007,58.2,-0.001373627
28/12/2007,58.28,-0.001371742
27/12/2007,58.36,-0.010058903
26/12/2007,58.95,0.001188153
24/12/2007,58.88,-0.001866464
21/12/2007,58.99,0.015030172
20/12/2007,58.11,0.01299057
19/12/2007,57.36,0.002793298
18/12/2007,57.2,0.010721607
17/12/2007,56.59,-0.00247088
14/12/2007,56.73,-0.005274274
13/12/2007,57.03,-0.007685627
12/12/2007,57.47,0.006984488
11/12/2007,57.07,-0.013920531
10/12/2007,57.87,0.021307128
07/12/2007,56.65,0.011897503
06/12/2007,55.98,0.023496472
05/12/2007,54.68,0.006421451
04/12/2007,54.33,-0.005506622
03/12/2007,54.63,-0.006750003
30/11/2007,55,0.004373185
29/11/2007,54.76,0.000730727
28/11/2007,54.72,0.007889225
27/11/2007,54.29,0.016903904
26/11/2007,53.38,-0.012843359
23/11/2007,54.07,0.012281509
21/11/2007,53.41,-0.012281509
20/11/2007,54.07,0.010784783
19/11/2007,53.49,0.001309513
16/11/2007,53.42,0.007516007
15/11/2007,53.02,-0.000377145
14/11/2007,53.04,-0.004889985
13/11/2007,53.3,0.012460044
12/11/2007,52.64,0.018598945
09/11/2007,51.67,0.027071092
08/11/2007,50.29,0.008787754
07/11/2007,49.85,0.005229296
06/11/2007,49.59,0.009522917
05/11/2007,49.12,0.003671226
02/11/2007,48.94,0.008000863
01/11/2007,48.55,-0.012282652
31/10/2007,49.15,0.025761342
30/10/2007,47.9,-0.001043297
29/10/2007,47.95,-0.000833855
26/10/2007,47.99,-0.011189508
25/10/2007,48.53,0.001237114
24/10/2007,48.47,-0.007604599
23/10/2007,48.84,0.014643966
22/10/2007,48.13,0.014229158
19/10/2007,47.45,-0.013605652
18/10/2007,48.1,-0.010341354
17/10/2007,48.6,0.002059733
16/10/2007,48.5,-0.008826907
15/10/2007,48.93,-0.015413
12/10/2007,49.69,0.007068595
11/10/2007,49.34,0.000202696
10/10/2007,49.33,0.017174824
09/10/2007,48.49,0.014122768
08/10/2007,47.81,0.002303425
05/10/2007,47.7,0.006731199
04/10/2007,47.38,0.006989333
03/10/2007,47.05,-0.017695848
02/10/2007,47.89,-0.005206718
01/10/2007,48.14,-0.006006024
28/09/2007,48.43,-0.016992936
27/09/2007,49.26,-0.001014508
26/09/2007,49.31,-0.003441647
25/09/2007,49.48,-0.001615509
24/09/2007,49.56,-0.007037327
21/09/2007,49.91,0.002005616
20/09/2007,49.81,-0.000602107
19/09/2007,49.84,-0.005203134
18/09/2007,50.1,0.002998503
17/09/2007,49.95,0.000801122
14/09/2007,49.91,0.007239123
13/09/2007,49.55,0.001615836
12/09/2007,49.47,-0.002019387
11/09/2007,49.57,0.009119528
10/09/2007,49.12,-0.001424067
07/09/2007,49.19,-0.008300483
06/09/2007,49.6,0.006269613
05/09/2007,49.29,-0.018094583
04/09/2007,50.19,0.003592818
31/08/2007,50.01,0.019382799
30/08/2007,49.05,0.007366516
29/08/2007,48.69,0.001233046
28/08/2007,48.63,-0.011449726
27/08/2007,49.19,-0.008502076
24/08/2007,49.61,0.020157457
23/08/2007,48.62,-0.00061684
22/08/2007,48.65,-0.018532248
21/08/2007,49.56,0.000201796
20/08/2007,49.55,-0.005032723
17/08/2007,49.8,0.019055918
16/08/2007,48.86,-0.005307218
15/08/2007,49.12,0.013114942
14/08/2007,48.48,-0.01148495
13/08/2007,49.04,0.032327722
10/08/2007,47.48,0.02451887
09/08/2007,46.33,-0.026412611
08/08/2007,47.57,-0.008790345
07/08/2007,47.99,-0.010571142
06/08/2007,48.5,0.020834087
03/08/2007,47.5,-0.017943315
02/08/2007,48.36,0.00768037
01/08/2007,47.99,-0.009126801
31/07/2007,48.43,-0.010475602
30/07/2007,48.94,-0.003874788
27/07/2007,49.13,-0.021744364
26/07/2007,50.21,-0.019720615
25/07/2007,51.21,0.004109193
24/07/2007,51,-0.00332779
23/07/2007,51.17,-0.002927117
20/07/2007,51.32,-0.011045554
19/07/2007,51.89,-0.032049771
18/07/2007,53.58,0.010883951
17/07/2007,53,0.000943842
16/07/2007,52.95,-0.000566412
13/07/2007,52.98,-0.002074103
12/07/2007,53.09,0.032155881
11/07/2007,51.41,-0.002719504
10/07/2007,51.55,-0.008114419
09/07/2007,51.97,-0.020002572
06/07/2007,53.02,0.010808866
05/07/2007,52.45,0.005927926
03/07/2007,52.14,-0.001533155
02/07/2007,52.22,0.020898593
29/06/2007,51.14,-0.018597979
28/06/2007,52.1,0.006740517
27/06/2007,51.75,-0.000772648
26/06/2007,51.79,0.005615273
25/06/2007,51.5,0.003891055
22/06/2007,51.3,-0.009120079
21/06/2007,51.77,0.005229023
20/06/2007,51.5,-0.023792373
19/06/2007,52.74,-0.002461889
18/06/2007,52.87,-0.000567269
15/06/2007,52.9,-0.000944733
14/06/2007,52.95,-0.003017162
13/06/2007,53.11,0.002262018
12/06/2007,52.99,-0.003767192
11/06/2007,53.19,-0.008983777
08/06/2007,53.67,0.005792785
07/06/2007,53.36,-0.011366935
06/06/2007,53.97,-0.013435373
05/06/2007,54.7,-0.009099244
04/06/2007,55.2,-0.000181143
01/06/2007,55.21,0.008001498
31/05/2007,54.77,0.003658318
30/05/2007,54.57,0
29/05/2007,54.57,0.002936321
25/05/2007,54.41,0.003682567
24/05/2007,54.21,0.005178484
23/05/2007,53.93,0.000741977
22/05/2007,53.89,0.007263278
21/05/2007,53.5,0.000560905
18/05/2007,53.47,-0.00336072
17/05/2007,53.65,-0.002791998
16/05/2007,53.8,0.02103759
15/05/2007,52.68,-0.002843334
14/05/2007,52.83,-0.014283272
11/05/2007,53.59,0.010693283
10/05/2007,53.02,-0.001319386
09/05/2007,53.09,-0.000376648
08/05/2007,53.11,-0.00263257
07/05/2007,53.25,-0.005991405
04/05/2007,53.57,0.007118801
03/05/2007,53.19,-0.011217168
02/05/2007,53.79,0.019523804
01/05/2007,52.75,-0.005859576
30/04/2007,53.06,-0.001694756
27/04/2007,53.15,0.008312914
26/04/2007,52.71,-0.004354006
25/04/2007,52.94,-0.024075064
24/04/2007,54.23,0.005176569
23/04/2007,53.95,0.013999295
20/04/2007,53.2,0.021853601
19/04/2007,52.05,-0.040660598
18/04/2007,54.21,-0.007534723
17/04/2007,54.62,0.014197712
16/04/2007,53.85,0.016854332
13/04/2007,52.95,-0.003205433
12/04/2007,53.12,-0.000376435
11/04/2007,53.14,-0.020488703
10/04/2007,54.24,-0.01173034
09/04/2007,54.88,-0.008166273
05/04/2007,55.33,0.004891757
04/04/2007,55.06,0.008206484
03/04/2007,54.61,0.016245511
02/04/2007,53.73,0.014245789
30/03/2007,52.97,0.002457236
29/03/2007,52.84,-0.036604179
28/03/2007,54.81,-0.018796866
27/03/2007,55.85,-0.01827426
26/03/2007,56.88,0.006526172
23/03/2007,56.51,0.014617016
22/03/2007,55.69,0.011922107
21/03/2007,55.03,0.017044305
20/03/2007,54.1,-0.003690041
19/03/2007,54.3,0.021782486
16/03/2007,53.13,-0.017167804
15/03/2007,54.05,0.012660754
14/03/2007,53.37,0.006956877
13/03/2007,53,-0.005081407
12/03/2007,53.27,0.005081407
09/03/2007,53,-0.006207111
08/03/2007,53.33,-0.008774443
07/03/2007,53.8,-0.00334014
06/03/2007,53.98,0.019076696
05/03/2007,52.96,-0.022774925
02/03/2007,54.18,0.026937656
01/03/2007,52.74,0.010674901
28/02/2007,52.18,0.009048093
27/02/2007,51.71,-0.028595162
26/02/2007,53.21,0.003388557
23/02/2007,53.03,-0.012927581
22/02/2007,53.72,0.003543127
21/02/2007,53.53,-0.005402901
20/02/2007,53.82,-0.002412546
16/02/2007,53.95,0.006322074
15/02/2007,53.61,0.037439052
14/02/2007,51.64,0.000581114
13/02/2007,51.61,-0.000193742
12/02/2007,51.62,0.014439275
09/02/2007,50.88,-0.007050558
08/02/2007,51.24,-0.000195141
07/02/2007,51.25,0.005086083
06/02/2007,50.99,-0.025940285
05/02/2007,52.33,-0.011022537
02/02/2007,52.91,0.002081166
01/02/2007,52.8,0.010279931
31/01/2007,52.26,0.000957213
30/01/2007,52.21,0.009236163
29/01/2007,51.73,0.003679679
26/01/2007,51.54,-0.010806744
25/01/2007,52.1,0.005774799
24/01/2007,51.8,0.006391036
23/01/2007,51.47,-0.013891792
22/01/2007,52.19,-0.019167491
19/01/2007,53.2,-0.011215071
18/01/2007,53.8,-0.033808611
17/01/2007,55.65,-0.001795333
16/01/2007,55.75,0.011727694
12/01/2007,55.1,0.011866867
11/01/2007,54.45,0.030203638
10/01/2007,52.83,0.002843334
09/01/2007,52.68,-0.012075618
08/01/2007,53.32,0.014546398
05/01/2007,52.55,-0.00682726
04/01/2007,52.91,0.006446742
03/01/2007,52.57,-0.02182589
29/12/2006,53.73,0.00130366
28/12/2006,53.66,0.005231701
27/12/2006,53.38,0.002813997
26/12/2006,53.23,-0.00412449
22/12/2006,53.45,-0.008940272
21/12/2006,53.93,0.006884389
20/12/2006,53.56,0.0232327
19/12/2006,52.33,0.037578645
18/12/2006,50.4,0.006169788
15/12/2006,50.09,0.007816454
14/12/2006,49.7,-0.000201187
13/12/2006,49.71,-0.006616565
12/12/2006,50.04,-0.000998702
11/12/2006,50.09,0.003600004
08/12/2006,49.91,0.008450755
07/12/2006,49.49,0.00974627
06/12/2006,49.01,0.002656044
05/12/2006,48.88,-0.00061356
04/12/2006,48.91,0.001636996
01/12/2006,48.83,-0.005106742
30/11/2006,49.08,0.031459548
29/11/2006,47.56,0.004636468
28/11/2006,47.34,0.0248088
27/11/2006,46.18,-0.011411471
24/11/2006,46.71,0.003216471
22/11/2006,46.56,0.004952104
21/11/2006,46.33,-0.010307156
20/11/2006,46.81,-0.009355799
