Date,Close,A
04/04/2014,55.57,-0.018365498
03/04/2014,56.6,-0.001235985
02/04/2014,56.67,0.005485283
01/04/2014,56.36,0.007837589
31/03/2014,55.92,0.022241221
28/03/2014,54.69,0
27/03/2014,54.69,-0.00873845
26/03/2014,55.17,0.000181274
25/03/2014,55.16,-0.001811267
24/03/2014,55.26,-0.014908224
21/03/2014,56.09,-0.010816667
20/03/2014,56.7,0.001235331
19/03/2014,56.63,-0.002821374
18/03/2014,56.79,0.017586385
17/03/2014,55.8,0.006472515
14/03/2014,55.44,-0.007368171
13/03/2014,55.85,-0.02143382
12/03/2014,57.06,0.00351124
11/03/2014,56.86,-0.022433773
10/03/2014,58.15,-0.004632418
07/03/2014,58.42,-0.005973224
06/03/2014,58.77,0.016642745
05/03/2014,57.8,0.000346081
04/03/2014,57.78,0.018692133
03/03/2014,56.71,-0.003871881
28/02/2014,56.93,0.010062756
27/02/2014,56.36,-0.01304443
26/02/2014,57.1,0.003684538
25/02/2014,56.89,0.002463922
24/02/2014,56.75,0.007250894
21/02/2014,56.34,-0.016721326
20/02/2014,57.29,0.023846401
19/02/2014,55.94,0.014222942
18/02/2014,55.15,-0.001811595
14/02/2014,55.25,-0.083808667
13/02/2014,60.08,0.003167461
12/02/2014,59.89,0.00267514
11/02/2014,59.73,0.012127486
10/02/2014,59.01,-0.006923949
07/02/2014,59.42,0.019200318
06/02/2014,58.29,0.014863737
05/02/2014,57.43,-0.006594956
04/02/2014,57.81,0.02913509
03/02/2014,56.15,-0.034999198
31/01/2014,58.15,-0.023118487
30/01/2014,59.51,0.031754119
29/01/2014,57.65,-0.007775417
28/01/2014,58.1,-0.003436429
27/01/2014,58.3,0.007402978
24/01/2014,57.87,-0.027272868
23/01/2014,59.47,-0.024253681
22/01/2014,60.93,0.001313845
21/01/2014,60.85,0.00230339
17/01/2014,60.71,0.003465064
16/01/2014,60.5,0.002648131
15/01/2014,60.34,0.007652674
14/01/2014,59.88,0.015992261
13/01/2014,58.93,0
10/01/2014,58.93,0.008863191
09/01/2014,58.41,0.000342466
08/01/2014,58.39,0.016229638
07/01/2014,57.45,0.014199555
06/01/2014,56.64,-0.004931324
03/01/2014,56.92,0.012552096
02/01/2014,56.21,-0.017284381
31/12/2013,57.19,-0.002270545
30/12/2013,57.32,0.002620318
27/12/2013,57.17,-0.005059768
26/12/2013,57.46,0.004010817
24/12/2013,57.23,-0.005402122
23/12/2013,57.54,0.010131091
20/12/2013,56.96,-0.007346543
19/12/2013,57.38,-0.008848848
18/12/2013,57.89,0.026607556
17/12/2013,56.37,0.020249774
16/12/2013,55.24,0.001449276
13/12/2013,55.16,-0.001811267
12/12/2013,55.26,0.007629465
11/12/2013,54.84,-0.00907612
10/12/2013,55.34,0.005072475
09/12/2013,55.06,0.00418601
06/12/2013,54.83,0.024555836
05/12/2013,53.5,-0.00149421
04/12/2013,53.58,0.012205578
03/12/2013,52.93,-0.005276063
02/12/2013,53.21,-0.006742861
29/11/2013,53.57,-0.004470114
27/11/2013,53.81,0.002977854
26/11/2013,53.65,0.010116235
25/11/2013,53.11,-0.013837169
22/11/2013,53.85,-0.004631782
21/11/2013,54.1,0.010591941
20/11/2013,53.53,-0.005402901
19/11/2013,53.82,-0.004264399
18/11/2013,54.05,-0.016150103
15/11/2013,54.93,0.083294545
14/11/2013,50.54,-0.01297443
13/11/2013,51.2,0
12/11/2013,51.2,-0.00195122
11/11/2013,51.3,0.010188176
08/11/2013,50.78,0.014480071
07/11/2013,50.05,-0.019587133
06/11/2013,51.04,-0.003325186
05/11/2013,51.21,0
04/11/2013,51.21,0.002150328
01/11/2013,51.1,0.006675854
31/10/2013,50.76,-0.00765385
30/10/2013,51.15,-0.010695289
29/10/2013,51.7,0.004070167
28/10/2013,51.49,-0.007352974
25/10/2013,51.87,0.014564778
24/10/2013,51.12,0.009236579
23/10/2013,50.65,-0.007278482
22/10/2013,51.02,-0.01883368
21/10/2013,51.99,-0.019051824
18/10/2013,52.99,0.006436978
17/10/2013,52.65,0.020920061
16/10/2013,51.56,0.013276259
15/10/2013,50.88,-0.00938974
14/10/2013,51.36,-0.001945147
11/10/2013,51.46,0.009175272
10/10/2013,50.99,0.02060703
09/10/2013,49.95,-0.003597126
08/10/2013,50.13,-0.019751778
07/10/2013,51.13,-0.012632565
04/10/2013,51.78,0.014002563
03/10/2013,51.06,-0.009938696
02/10/2013,51.57,-0.006378682
01/10/2013,51.9,0.012603172
30/09/2013,51.25,-0.007387281
27/09/2013,51.63,-0.008870093
26/09/2013,52.09,0.00500386
25/09/2013,51.83,0.00444746
24/09/2013,51.6,-0.00135567
23/09/2013,51.67,-0.009246839
20/09/2013,52.15,0.022690782
19/09/2013,50.98,0.033103721
18/09/2013,49.32,0.009165967
17/09/2013,48.87,0.002663663
16/09/2013,48.74,0.005761333
13/09/2013,48.46,-0.003296253
12/09/2013,48.62,-0.006968669
11/09/2013,48.96,0.008409443
10/09/2013,48.55,0.012435393
09/09/2013,47.95,0.010903861
06/09/2013,47.43,-0.005257083
05/09/2013,47.68,-0.003976981
04/09/2013,47.87,0.019831874
03/09/2013,46.93,0.006198588
30/08/2013,46.64,-0.003424661
29/08/2013,46.8,0.001282874
28/08/2013,46.74,-0.004908771
27/08/2013,46.97,-0.013323661
26/08/2013,47.6,-0.001679262
23/08/2013,47.68,-0.006063793
22/08/2013,47.97,0.022771382
21/08/2013,46.89,-0.002981263
20/08/2013,47.03,0.012624539
19/08/2013,46.44,-0.007508348
16/08/2013,46.79,-0.003626671
15/08/2013,46.96,0.009628832
