Date,Close,ACN
04/04/2014,78.14,-0.015366357
03/04/2014,79.35,-0.00803318
02/04/2014,79.99,0.005641587
01/04/2014,79.54,-0.002260456
31/03/2014,79.72,0.011480603
28/03/2014,78.81,0.000126896
27/03/2014,78.8,-0.0515661
26/03/2014,82.97,-0.006607027
25/03/2014,83.52,0.018366877
24/03/2014,82,-0.010071067
21/03/2014,82.83,-0.002772924
20/03/2014,83.06,0.005190427
19/03/2014,82.63,-0.013940858
18/03/2014,83.79,0.004785271
17/03/2014,83.39,0.024398856
14/03/2014,81.38,-0.008686664
13/03/2014,82.09,-0.008007808
12/03/2014,82.75,-0.009621241
11/03/2014,83.55,-0.005847621
10/03/2014,84.04,0.001309758
07/03/2014,83.93,0.001550111
06/03/2014,83.8,-0.003692458
05/03/2014,84.11,0.001546791
04/03/2014,83.98,0.017780382
03/03/2014,82.5,-0.010250316
28/02/2014,83.35,-0.000119969
27/02/2014,83.36,-0.000479731
26/02/2014,83.4,-0.000119897
25/02/2014,83.41,-0.006453177
24/02/2014,83.95,0.001788376
21/02/2014,83.8,0.005024535
20/02/2014,83.38,0.001440231
19/02/2014,83.26,0.008079634
18/02/2014,82.59,0.005828796
14/02/2014,82.11,0.004516334
13/02/2014,81.74,0.006505086
12/02/2014,81.21,0.008160283
11/02/2014,80.55,0.007226545
10/02/2014,79.97,-0.007598915
07/02/2014,80.58,0.02589711
06/02/2014,78.52,0.012172615
05/02/2014,77.57,-0.006553188
04/02/2014,78.08,-0.000128066
03/02/2014,78.09,-0.022663501
31/01/2014,79.88,-0.010460867
30/01/2014,80.72,0.00496772
29/01/2014,80.32,-0.012127361
28/01/2014,81.3,0.001846723
27/01/2014,81.15,-0.000369617
24/01/2014,81.18,-0.033195053
23/01/2014,83.92,-0.017482137
22/01/2014,85.4,0.005518713
21/01/2014,84.93,0.005904599
17/01/2014,84.43,0.003678438
16/01/2014,84.12,-0.001188072
15/01/2014,84.22,0.027323118
14/01/2014,81.95,0.010919684
13/01/2014,81.06,-0.026057727
10/01/2014,83.2,0.003009331
09/01/2014,82.95,0.009691172
08/01/2014,82.15,0.007698456
07/01/2014,81.52,0.012094433
06/01/2014,80.54,-0.010621318
03/01/2014,81.4,0.003322467
02/01/2014,81.13,-0.013345775
31/12/2013,82.22,0.001947894
30/12/2013,82.06,-0.005468811
27/12/2013,82.51,0.004372654
26/12/2013,82.15,0.010277834
24/12/2013,81.31,-0.002947319
23/12/2013,81.55,0.012338219
20/12/2013,80.55,0.01299531
19/12/2013,79.51,0.050162001
18/12/2013,75.62,0.021655705
17/12/2013,74,-0.008343475
16/12/2013,74.62,0.009154614
13/12/2013,73.94,-0.001891637
12/12/2013,74.08,-0.004310352
11/12/2013,74.4,-0.01348395
10/12/2013,75.41,0.003719946
09/12/2013,75.13,-0.005309982
06/12/2013,75.53,-0.003436429
05/12/2013,75.79,-0.003687611
04/12/2013,76.07,-0.013319601
03/12/2013,77.09,0.009907525
02/12/2013,76.33,-0.014824719
29/11/2013,77.47,-0.00180552
27/11/2013,77.61,0.003097176
26/11/2013,77.37,0.002070126
25/11/2013,77.21,-0.008126456
22/11/2013,77.84,-0.007551069
21/11/2013,78.43,0.003448499
20/11/2013,78.16,-0.003958378
19/11/2013,78.47,-0.000636983
18/11/2013,78.52,0.006388165
15/11/2013,78.02,0.012380865
14/11/2013,77.06,-0.004531632
13/11/2013,77.41,0.014443033
12/11/2013,76.3,0.010672741
11/11/2013,75.49,0.003317193
08/11/2013,75.24,-0.004111684
07/11/2013,75.55,0.006773384
06/11/2013,75.04,0.022642477
05/11/2013,73.36,0.008899901
04/11/2013,72.71,-0.003980514
01/11/2013,73,-0.006825965
31/10/2013,73.5,-0.010152371
30/10/2013,74.25,-0.008849615
29/10/2013,74.91,0.007907298
28/10/2013,74.32,0.009599208
25/10/2013,73.61,0.00149548
24/10/2013,73.5,-0.003802286
23/10/2013,73.78,-0.002301497
22/10/2013,73.95,0.005695703
21/10/2013,73.53,0.008879233
18/10/2013,72.88,0.00041172
17/10/2013,72.85,0.005781954
16/10/2013,72.43,0.011525504
15/10/2013,71.6,-0.014695953
14/10/2013,72.66,-0.0006879
11/10/2013,72.71,0.020143766
10/10/2013,71.26,0.013847897
09/10/2013,70.28,-0.011459417
08/10/2013,71.09,-0.017568773
07/10/2013,72.35,-0.012499304
04/10/2013,73.26,0.001639345
03/10/2013,73.14,-0.005046039
02/10/2013,73.51,-0.004208246
01/10/2013,73.82,0.002441341
30/09/2013,73.64,-0.006092214
27/09/2013,74.09,-0.023740779
26/09/2013,75.87,-0.003289693
25/09/2013,76.12,0.012958002
24/09/2013,75.14,-0.016105959
23/09/2013,76.36,-0.012493655
20/09/2013,77.32,-0.002970235
19/09/2013,77.55,-0.003089999
18/09/2013,77.79,0.015285272
17/09/2013,76.61,0.003530569
16/09/2013,76.34,0.024397922
13/09/2013,74.5,0.004574204
12/09/2013,74.16,-0.011263192
11/09/2013,75,0.003472689
10/09/2013,74.74,0.015642174
09/09/2013,73.58,0.005041226
06/09/2013,73.21,-0.01073307
05/09/2013,74,0.012920955
04/09/2013,73.05,-0.000410593
03/09/2013,73.08,0.011422405
30/08/2013,72.25,-0.006484123
29/08/2013,72.72,0.003719781
28/08/2013,72.45,0.00290276
27/08/2013,72.24,-0.020415863
26/08/2013,73.73,-0.003790447
23/08/2013,74.01,-0.001215313
22/08/2013,74.1,0.017562224
21/08/2013,72.81,0.008967433
20/08/2013,72.16,0.006813626
19/08/2013,71.67,0.000279096
16/08/2013,71.65,0.001676212
15/08/2013,71.53,0.000419492
14/08/2013,71.5,-0.019116803
13/08/2013,72.88,0.00123567
12/08/2013,72.79,-0.010114903
09/08/2013,73.53,0.007508055
08/08/2013,72.98,-0.00027401
07/08/2013,73,-0.003418807
06/08/2013,73.25,-0.013290133
05/08/2013,74.23,-0.004838069
02/08/2013,74.59,-0.003479661
01/08/2013,74.85,0.013991887
31/07/2013,73.81,0.000948831
30/07/2013,73.74,0.018753544
29/07/2013,72.37,-0.010310078
