Date,Close,AN
04/04/2014,53.47,-0.022011432
03/04/2014,54.66,-0.004381168
02/04/2014,54.9,0.003832471
01/04/2014,54.69,0.02705873
31/03/2014,53.23,0.021841149
28/03/2014,52.08,0.006163348
27/03/2014,51.76,0.002708456
26/03/2014,51.62,-0.015379004
25/03/2014,52.42,-0.021327599
24/03/2014,53.55,0.009946596
21/03/2014,53.02,0.00415801
20/03/2014,52.8,-0.005665738
19/03/2014,53.1,-0.006382601
18/03/2014,53.44,-0.003362604
17/03/2014,53.62,0.010687268
14/03/2014,53.05,0.013282928
13/03/2014,52.35,-0.011018349
12/03/2014,52.93,-0.002641511
11/03/2014,53.07,-0.010869672
10/03/2014,53.65,-0.001117735
07/03/2014,53.71,0.007287709
06/03/2014,53.32,-0.002622215
05/03/2014,53.46,-0.001682086
04/03/2014,53.55,0.016949558
03/03/2014,52.65,0.000189952
28/02/2014,52.64,0.00171119
27/02/2014,52.55,-0.005314114
26/02/2014,52.83,0.014874416
25/02/2014,52.05,0.017051372
24/02/2014,51.17,0.001760392
21/02/2014,51.08,0.005890455
20/02/2014,50.78,-0.004323056
19/02/2014,51,0.001962709
18/02/2014,50.9,-0.016754727
14/02/2014,51.76,0.006979478
13/02/2014,51.4,0.002727452
12/02/2014,51.26,0.002148229
11/02/2014,51.15,0.006866138
10/02/2014,50.8,-0.006475055
07/02/2014,51.13,0.009234765
06/02/2014,50.66,0.015516524
05/02/2014,49.88,0.013523266
04/02/2014,49.21,0.021568054
03/02/2014,48.16,-0.025219174
31/01/2014,49.39,-0.010072607
30/01/2014,49.89,0.059460237
29/01/2014,47.01,-0.008050891
28/01/2014,47.39,0.011673697
27/01/2014,46.84,-0.010618065
24/01/2014,47.34,-0.021730901
23/01/2014,48.38,-0.01028181
22/01/2014,48.88,0.015462632
21/01/2014,48.13,0.006461721
17/01/2014,47.82,-0.008537272
16/01/2014,48.23,0.012518419
15/01/2014,47.63,-0.033040379
14/01/2014,49.23,0.012468225
13/01/2014,48.62,-0.023980015
10/01/2014,49.8,0.016194686
09/01/2014,49,-0.003463383
08/01/2014,49.17,-0.010721252
07/01/2014,49.7,0.016023059
06/01/2014,48.91,-0.017028589
03/01/2014,49.75,0.009492144
02/01/2014,49.28,-0.008285386
31/12/2013,49.69,-0.003014169
30/12/2013,49.84,-0.004404412
27/12/2013,50.06,-0.012900844
26/12/2013,50.71,0.015501105
24/12/2013,49.93,0.002807864
23/12/2013,49.79,-0.001003714
20/12/2013,49.84,-0.024379366
19/12/2013,51.07,-0.005662419
18/12/2013,51.36,0.03688699
17/12/2013,49.5,-0.009650256
16/12/2013,49.98,-0.00060006
13/12/2013,50.01,0.008030559
12/12/2013,49.61,-0.003219967
11/12/2013,49.77,-0.011188928
10/12/2013,50.33,-0.002975897
09/12/2013,50.48,-0.001385727
06/12/2013,50.55,0.001782002
05/12/2013,50.46,0.004966733
04/12/2013,50.21,0.023985832
03/12/2013,49.02,0.004498065
02/12/2013,48.8,-0.004905979
29/11/2013,49.04,-0.007516541
27/11/2013,49.41,0.005275986
26/11/2013,49.15,-0.000813504
25/11/2013,49.19,0.003054059
22/11/2013,49.04,-0.002240555
21/11/2013,49.15,0.009814023
20/11/2013,48.67,0.001233553
19/11/2013,48.61,-0.002670777
18/11/2013,48.74,-0.02271903
15/11/2013,49.86,0.009471104
14/11/2013,49.39,-0.002022654
13/11/2013,49.49,0.027241828
12/11/2013,48.16,0.001246624
11/11/2013,48.1,0.021433895
08/11/2013,47.08,0.00361741
07/11/2013,46.91,-0.014811951
06/11/2013,47.61,-0.014388737
05/11/2013,48.3,-0.013572078
04/11/2013,48.96,0.011710457
01/11/2013,48.39,0.003311947
31/10/2013,48.23,0.004780223
30/10/2013,48,-0.025302183
29/10/2013,49.23,0.00897782
28/10/2013,48.79,-0.007554911
25/10/2013,49.16,-0.005072548
24/10/2013,49.41,0.017146777
23/10/2013,48.57,-0.016134323
22/10/2013,49.36,-0.011681905
21/10/2013,49.94,-0.004794256
18/10/2013,50.18,0.010215412
17/10/2013,49.67,-0.004820254
16/10/2013,49.91,0.012297302
15/10/2013,49.3,-0.013298604
14/10/2013,49.96,-0.00080032
11/10/2013,50,0.006018072
10/10/2013,49.7,0.018069723
09/10/2013,48.81,0.00554701
08/10/2013,48.54,-0.037007559
07/10/2013,50.37,-0.011449
04/10/2013,50.95,-0.00957132
03/10/2013,51.44,-0.017344817
02/10/2013,52.34,-0.000573011
01/10/2013,52.37,0.003826291
30/09/2013,52.17,-0.010297574
27/09/2013,52.71,0.008382598
26/09/2013,52.27,-0.008382598
25/09/2013,52.71,-0.01468953
24/09/2013,53.49,0.011469525
23/09/2013,52.88,-0.0082863
20/09/2013,53.32,-0.014522691
19/09/2013,54.1,0.01508549
18/09/2013,53.29,0.012272409
17/09/2013,52.64,0.008393792
16/09/2013,52.2,-0.01615237
13/09/2013,53.05,-0.000565344
12/09/2013,53.08,-0.000753296
11/09/2013,53.12,-0.006193132
10/09/2013,53.45,0.038136175
09/09/2013,51.45,0.043295086
06/09/2013,49.27,0.013691846
05/09/2013,48.6,0.02289382
04/09/2013,47.5,0.005277057
03/09/2013,47.25,0.010852325
30/08/2013,46.74,-0.000427807
29/08/2013,46.76,0.030177043
28/08/2013,45.37,0.001102658
27/08/2013,45.32,-0.021609484
26/08/2013,46.31,-0.00237248
23/08/2013,46.42,-0.000215401
22/08/2013,46.43,-0.003654739
21/08/2013,46.6,-0.000858001
20/08/2013,46.64,0.024746216
19/08/2013,45.5,-0.003291281
16/08/2013,45.65,-0.018233629
15/08/2013,46.49,-0.028833882
14/08/2013,47.85,-0.004171018
13/08/2013,48.05,0.001457878
12/08/2013,47.98,-0.009541661
09/08/2013,48.44,-0.001237879
08/08/2013,48.5,-0.001236349
07/08/2013,48.56,0.004333925
06/08/2013,48.35,-0.010288157
05/08/2013,48.85,-0.008966842
02/08/2013,49.29,0.000608828
01/08/2013,49.26,0.027996888
31/07/2013,47.9,0.032678486
30/07/2013,46.36,0.01062571
29/07/2013,45.87,0.001963994
26/07/2013,45.78,-0.003271184
25/07/2013,45.93,-0.002392086
24/07/2013,46.04,-0.003252741
23/07/2013,46.19,0.004339343
22/07/2013,45.99,0.027556025
19/07/2013,44.74,-0.00534999
18/07/2013,44.98,-0.010834821
17/07/2013,45.47,-0.004826688
16/07/2013,45.69,-0.015204463
15/07/2013,46.39,0.008442522
12/07/2013,46,-0.010595839
11/07/2013,46.49,0.001937776
10/07/2013,46.4,-0.005373468
09/07/2013,46.65,0.004942526
08/07/2013,46.42,0.006050148
05/07/2013,46.14,0.019035691
03/07/2013,45.27,0.015807966
02/07/2013,44.56,-0.008491671
01/07/2013,44.94,0.035099267
28/06/2013,43.39,0
27/06/2013,43.39,0.01603008
26/06/2013,42.7,-0.000234165
25/06/2013,42.71,0.007284723
24/06/2013,42.4,-0.013586529
21/06/2013,42.98,0.002562611
20/06/2013,42.87,-0.028740914
19/06/2013,44.12,-0.01261278
18/06/2013,44.68,0.015790989
17/06/2013,43.98,-0.002044294
14/06/2013,44.07,0.004548564
13/06/2013,43.87,0.013771161
12/06/2013,43.27,-0.023525123
11/06/2013,44.3,-0.040478821
10/06/2013,46.13,-0.014846964
07/06/2013,46.82,0.008149305
06/06/2013,46.44,0.004532219
05/06/2013,46.23,-0.018006917
04/06/2013,47.07,0.018223251
03/06/2013,46.22,-0.002377095
31/05/2013,46.33,0.003459463
30/05/2013,46.17,-0.018242807
29/05/2013,47.02,-0.002336698
28/05/2013,47.13,0.018199839
24/05/2013,46.28,-0.001727116
23/05/2013,46.36,-0.004519539
22/05/2013,46.57,0.009709862
21/05/2013,46.12,0.000867679
20/05/2013,46.08,0.00173762
17/05/2013,46,0.01423122
16/05/2013,45.35,-0.021595342
15/05/2013,46.34,0.004325266
14/05/2013,46.14,0.006959576
13/05/2013,45.82,-0.001308615
10/05/2013,45.88,0.021146162
09/05/2013,44.92,-0.024192955
08/05/2013,46.02,0.00021732
07/05/2013,46.01,0.015551732
