Date,Close,BBT
04/04/2014,40.04,-0.013642776
03/04/2014,40.59,-0.002952032
02/04/2014,40.71,0.006654368
01/04/2014,40.44,0.006698946
31/03/2014,40.17,0.008500051
28/03/2014,39.83,0.00352113
27/03/2014,39.69,-0.020943174
26/03/2014,40.53,-0.005904076
25/03/2014,40.77,0.014577157
24/03/2014,40.18,-0.000248849
21/03/2014,40.19,0.010253935
20/03/2014,39.78,0.014942661
19/03/2014,39.19,0.003322687
18/03/2014,39.06,0.005133481
17/03/2014,38.86,0.010086727
14/03/2014,38.47,-0.003114459
13/03/2014,38.59,-0.01108116
12/03/2014,39.02,0.000769132
11/03/2014,38.99,-0.006136557
10/03/2014,39.23,0.001275348
07/03/2014,39.18,0.010519661
06/03/2014,38.77,0.009849743
05/03/2014,38.39,0.011791045
04/03/2014,37.94,0.014602676
03/03/2014,37.39,-0.010905814
28/02/2014,37.8,0.007701539
27/02/2014,37.51,-0.007966054
26/02/2014,37.81,0.00690024
25/02/2014,37.55,-0.003986716
24/02/2014,37.7,0.012813843
21/02/2014,37.22,0.001075269
20/02/2014,37.18,0.010001435
19/02/2014,36.81,-0.020170107
18/02/2014,37.56,-0.001064396
14/02/2014,37.6,0.004531528
13/02/2014,37.43,0.00508907
12/02/2014,37.24,-0.010152371
11/02/2014,37.62,0.001862446
10/02/2014,37.55,0.006948184
07/02/2014,37.29,0.005377803
06/02/2014,37.09,0.011933963
05/02/2014,36.65,-0.003268867
04/02/2014,36.77,0.009838833
03/02/2014,36.41,-0.027094586
31/01/2014,37.41,-0.012221194
30/01/2014,37.87,0.01302344
29/01/2014,37.38,-0.013287466
28/01/2014,37.88,0.002378751
27/01/2014,37.79,-0.012360447
24/01/2014,38.26,-0.012983823
23/01/2014,38.76,-0.012817402
22/01/2014,39.26,-0.001272751
21/01/2014,39.31,0.01357429
17/01/2014,38.78,0.001290156
16/01/2014,38.73,-0.001290156
15/01/2014,38.78,0.008806066
14/01/2014,38.44,-0.002598079
13/01/2014,38.54,-0.003108811
10/01/2014,38.66,0.006748014
09/01/2014,38.4,0.006793859
08/01/2014,38.14,0.002888278
07/01/2014,38.03,0.0159028
06/01/2014,37.43,0.013448293
03/01/2014,36.93,0.004341934
02/01/2014,36.77,-0.014847081
31/12/2013,37.32,0.004296462
30/12/2013,37.16,0.001615944
27/12/2013,37.1,-0.001615944
26/12/2013,37.16,-0.002150538
24/12/2013,37.24,0
23/12/2013,37.24,0.015151805
20/12/2013,36.68,0.002456668
19/12/2013,36.59,0.009335598
18/12/2013,36.25,0.021188415
17/12/2013,35.49,-0.010650325
16/12/2013,35.87,0.014885825
13/12/2013,35.34,-0.000565771
12/12/2013,35.36,0.019418086
11/12/2013,34.68,0.003466208
10/12/2013,34.56,-0.008069208
09/12/2013,34.84,-0.003152317
06/12/2013,34.95,0.013249042
05/12/2013,34.49,-0.00894796
04/12/2013,34.8,0.01476362
03/12/2013,34.29,-0.01188592
02/12/2013,34.7,-0.001152074
29/11/2013,34.74,-0.004595068
27/11/2013,34.9,-0.003146906
26/11/2013,35.01,0.004006874
25/11/2013,34.87,0.0037351
22/11/2013,34.74,0.010125936
21/11/2013,34.39,0.011111225
20/11/2013,34.01,0.004420222
19/11/2013,33.86,0.000590842
18/11/2013,33.84,0.001774623
15/11/2013,33.78,0.00653403
14/11/2013,33.56,0.008979408
13/11/2013,33.26,0.006636525
12/11/2013,33.04,-0.013527938
11/11/2013,33.49,-0.004171639
08/11/2013,33.63,0.022553956
07/11/2013,32.88,-0.020172293
06/11/2013,33.55,-0.003273325
05/11/2013,33.66,-0.006219478
04/11/2013,33.87,-0.000590319
01/11/2013,33.89,-0.002357797
31/10/2013,33.97,-0.013450495
30/10/2013,34.43,-0.003768667
29/10/2013,34.56,-0.006345565
28/10/2013,34.78,-0.000862193
25/10/2013,34.81,0.005184343
24/10/2013,34.63,-0.002307471
23/10/2013,34.71,0.000576369
22/10/2013,34.69,0.018327786
21/10/2013,34.06,0.013597608
18/10/2013,33.6,-0.011834458
17/10/2013,34,-0.006449744
16/10/2013,34.22,0.020369708
15/10/2013,33.53,-0.008611783
14/10/2013,33.82,0.002664694
11/10/2013,33.73,0.001186592
10/10/2013,33.69,0.027992798
09/10/2013,32.76,0.003057171
08/10/2013,32.66,-0.014589924
07/10/2013,33.14,-0.015866221
04/10/2013,33.67,0.008051333
03/10/2013,33.4,-0.012496443
02/10/2013,33.82,-0.006190145
01/10/2013,34.03,0.008262071
30/09/2013,33.75,-0.006497365
27/09/2013,33.97,0.000883522
26/09/2013,33.94,-0.001177856
25/09/2013,33.98,0.003242449
24/09/2013,33.87,-0.009403537
23/09/2013,34.19,-0.02484241
20/09/2013,35.05,-0.000285266
19/09/2013,35.06,-0.003985203
18/09/2013,35.2,0.003985203
17/09/2013,35.06,0.016681434
16/09/2013,34.48,0.013724847
13/09/2013,34.01,0.004124932
12/09/2013,33.87,0.00029529
11/09/2013,33.86,0.00147776
10/09/2013,33.81,0.001479947
09/09/2013,33.76,0.007134394
06/09/2013,33.52,-0.012157303
05/09/2013,33.93,0
04/09/2013,33.93,0.003542962
03/09/2013,33.81,-0.004426745
30/08/2013,33.96,-0.008795131
29/08/2013,34.26,-0.001749782
28/08/2013,34.32,-0.004941152
27/08/2013,34.49,-0.031676211
26/08/2013,35.6,-0.004484312
23/08/2013,35.76,-0.004185858
22/08/2013,35.91,0.016000341
21/08/2013,35.34,-0.008453136
20/08/2013,35.64,0.004217636
19/08/2013,35.49,-0.001126443
16/08/2013,35.53,0.005928034
15/08/2013,35.32,-0.010701313
14/08/2013,35.7,-0.004750603
13/08/2013,35.87,0.008398706
12/08/2013,35.57,0.003097285
09/08/2013,35.46,-0.000563857
08/08/2013,35.48,-0.000563539
07/08/2013,35.5,-0.016205999
06/08/2013,36.08,-0.008830079
05/08/2013,36.4,-0.0005493
02/08/2013,36.42,-0.000274537
01/08/2013,36.43,0.020522074
31/07/2013,35.69,0.0025249
30/07/2013,35.6,0.003658369
29/07/2013,35.47,-0.007583241
26/07/2013,35.74,0.00308253
25/07/2013,35.63,-0.001402328
24/07/2013,35.68,-0.001400364
23/07/2013,35.73,0.007585371
22/07/2013,35.46,0.01020417
19/07/2013,35.1,0.001140251
18/07/2013,35.06,0.006581795
17/07/2013,34.83,-0.000287068
16/07/2013,34.84,-0.008573931
15/07/2013,35.14,0.009722696
12/07/2013,34.8,0.006341907
11/07/2013,34.58,-0.006341907
10/07/2013,34.8,-0.007158227
09/07/2013,35.05,0.002857145
08/07/2013,34.95,0.00200487
05/07/2013,34.88,0.020565533
03/07/2013,34.17,0.000292697
02/07/2013,34.16,0.004106782
01/07/2013,34.02,0.004123717
28/06/2013,33.88,-0.007058853
27/06/2013,34.12,0.007058853
26/06/2013,33.88,0.001476887
25/06/2013,33.83,0.018195879
24/06/2013,33.22,-0.013752085
21/06/2013,33.68,0.021002872
20/06/2013,32.98,-0.000303168
19/06/2013,32.99,-0.011752433
18/06/2013,33.38,0.008121567
17/06/2013,33.11,0.010016778
14/06/2013,32.78,-0.01933595
13/06/2013,33.42,0.013859818
12/06/2013,32.96,-0.010562947
11/06/2013,33.31,-0.003596048
10/06/2013,33.43,0.006000618
07/06/2013,33.23,0.016689812
06/06/2013,32.68,0.006138755
05/06/2013,32.48,-0.01467019
04/06/2013,32.96,-0.003936417
03/06/2013,33.09,0.005150746
31/05/2013,32.92,-0.01627032
30/05/2013,33.46,0.004192878
29/05/2013,33.32,0.005416805
28/05/2013,33.14,0.009702926
24/05/2013,32.82,-0.001522302
23/05/2013,32.87,0.007021858
22/05/2013,32.64,-0.002447982
21/05/2013,32.72,0.001835424
20/05/2013,32.66,0.003373719
17/05/2013,32.55,0.011432227
16/05/2013,32.18,-0.009587208
15/05/2013,32.49,0.007104277
14/05/2013,32.26,0.016250358
13/05/2013,31.74,0.010451402
10/05/2013,31.41,0.001912046
09/05/2013,31.35,-0.005407998
08/05/2013,31.52,0.000317309
07/05/2013,31.51,0.011169735
06/05/2013,31.16,0.007085376
03/05/2013,30.94,0.011049836
02/05/2013,30.6,0.008203491
01/05/2013,30.35,-0.013743672
30/04/2013,30.77,-0.001623641
29/04/2013,30.82,0.008144694
26/04/2013,30.57,-0.003265842
25/04/2013,30.67,0.014450169
24/04/2013,30.23,0.008637927
23/04/2013,29.97,0.006695706
22/04/2013,29.77,0.002690886
19/04/2013,29.69,0.014247188
18/04/2013,29.27,-0.025300726
17/04/2013,30.02,-0.012907675
16/04/2013,30.41,0.01024633
15/04/2013,30.1,-0.029784561
12/04/2013,31.01,-0.007389592
11/04/2013,31.24,-0.003514942
10/04/2013,31.35,0.014458083
09/04/2013,30.9,0.016971687
08/04/2013,30.38,0.009259325
05/04/2013,30.1,-0.016801581
04/04/2013,30.61,0.0144787
03/04/2013,30.17,-0.01611082
02/04/2013,30.66,-0.007473633
01/04/2013,30.89,-0.016056864
28/03/2013,31.39,0.003510455
27/03/2013,31.28,0.002240359
26/03/2013,31.21,0.012574726
25/03/2013,30.82,0.00064914
22/03/2013,30.8,0.005208345
21/03/2013,30.64,-0.010712649
20/03/2013,30.97,0.005829032
19/03/2013,30.79,0.001299968
18/03/2013,30.75,-0.007451841
15/03/2013,30.98,-0.023920771
14/03/2013,31.73,0.005055303
13/03/2013,31.57,0.00635528
12/03/2013,31.37,-0.012985139
11/03/2013,31.78,0.012029268
08/03/2013,31.4,0.008957194
07/03/2013,31.12,0.014565721
06/03/2013,30.67,0.008513476
05/03/2013,30.41,-0.023400483
04/03/2013,31.13,0.015213111
01/03/2013,30.66,0.009832921
28/02/2013,30.36,-0.000987654
27/02/2013,30.39,0.010253108
26/02/2013,30.08,0.006336523
25/02/2013,29.89,-0.022822224
22/02/2013,30.58,0.017816374
21/02/2013,30.04,0.001332445
