Date,Close,C
04/04/2014,47.11,-0.01202673
03/04/2014,47.68,-0.01167653
02/04/2014,48.24,0.009162913
01/04/2014,47.8,0.004192878
31/03/2014,47.6,0.007380107
28/03/2014,47.25,-0.004223871
27/03/2014,47.45,-0.055541371
26/03/2014,50.16,-0.002787181
25/03/2014,50.3,0.004982571
24/03/2014,50.05,-0.000599221
21/03/2014,50.08,-0.002791627
20/03/2014,50.22,0.025818296
19/03/2014,48.94,0.016481626
18/03/2014,48.14,0.008553301
17/03/2014,47.73,0.017968986
14/03/2014,46.88,-0.009553199
13/03/2014,47.33,-0.013639913
12/03/2014,47.98,-0.009335199
11/03/2014,48.43,-0.023266356
10/03/2014,49.57,-0.001008166
07/03/2014,49.62,-0.001812142
06/03/2014,49.71,0.00585092
05/03/2014,49.42,0.012010322
04/03/2014,48.83,0.025302055
03/03/2014,47.61,-0.021197801
28/02/2014,48.63,-0.001233046
27/02/2014,48.69,0.007628117
26/02/2014,48.32,-0.00165426
25/02/2014,48.4,-0.011912238
24/02/2014,48.98,0.014808991
21/02/2014,48.26,0.002697377
20/02/2014,48.13,-0.001245847
19/02/2014,48.19,-0.024393953
18/02/2014,49.38,-0.002831144
14/02/2014,49.52,-0.00684245
13/02/2014,49.86,-0.002003607
12/02/2014,49.96,0.006022905
11/02/2014,49.66,0.006870102
10/02/2014,49.32,-0.000405433
07/02/2014,49.34,0.022339283
06/02/2014,48.25,0.024972444
05/02/2014,47.06,0.005967622
04/02/2014,46.78,0.009450242
03/02/2014,46.34,-0.023249421
31/01/2014,47.43,-0.018176621
30/01/2014,48.3,0.00456527
29/01/2014,48.08,-0.031124544
28/01/2014,49.6,0.016055624
27/01/2014,48.81,-0.010597205
24/01/2014,49.33,-0.027787895
23/01/2014,50.72,-0.02299848
22/01/2014,51.9,0.000963855
21/01/2014,51.85,-0.008067658
17/01/2014,52.27,-0.006293527
16/01/2014,52.6,-0.044435231
15/01/2014,54.99,0.019093659
14/01/2014,53.95,0.00427232
13/01/2014,53.72,-0.018443902
10/01/2014,54.72,-0.00873368
09/01/2014,55.2,0.007090294
08/01/2014,54.81,0.011560822
07/01/2014,54.18,0.006852513
06/01/2014,53.81,0.007648578
03/01/2014,53.4,0.021388153
02/01/2014,52.27,0.003065724
31/12/2013,52.11,0.003652797
30/12/2013,51.92,-0.006527188
27/12/2013,52.26,-0.001720677
26/12/2013,52.35,-0.001527009
24/12/2013,52.43,0.000381534
23/12/2013,52.41,0.003823365
20/12/2013,52.21,0.006340688
19/12/2013,51.88,-0.001540832
18/12/2013,51.96,0.024745539
