Date,Close,CA
04/04/2014,31.08,-0.018805335
03/04/2014,31.67,-0.0053535
02/04/2014,31.84,0.007882746
01/04/2014,31.59,0.01949878
31/03/2014,30.98,0.004529286
28/03/2014,30.84,0.010102742
27/03/2014,30.53,-0.004249067
26/03/2014,30.66,-0.010382962
25/03/2014,30.98,-0.000967898
24/03/2014,31.01,-0.003219578
21/03/2014,31.11,-0.035988732
20/03/2014,32.25,0.003105593
19/03/2014,32.15,-0.007437282
18/03/2014,32.39,0.016812351
17/03/2014,31.85,0.011684958
14/03/2014,31.48,-0.012312705
13/03/2014,31.87,-0.016493294
12/03/2014,32.4,-0.007686433
11/03/2014,32.65,-0.00519323
10/03/2014,32.82,-0.003346011
07/03/2014,32.93,-0.008466939
06/03/2014,33.21,-0.001203732
05/03/2014,33.25,-0.004201687
04/03/2014,33.39,0.007515442
03/03/2014,33.14,-0.010804427
28/02/2014,33.5,0.003288985
27/02/2014,33.39,0.014176078
26/02/2014,32.92,0.009154779
25/02/2014,32.62,-0.001531628
24/02/2014,32.67,0.007681709
21/02/2014,32.42,-0.007681709
20/02/2014,32.67,0.006756782
19/02/2014,32.45,-0.013772215
18/02/2014,32.9,-0.002731827
14/02/2014,32.99,-0.002724385
13/02/2014,33.08,0.012471645
12/02/2014,32.67,0.011389995
11/02/2014,32.3,0.007146217
10/02/2014,32.07,-0.003113328
07/02/2014,32.17,0.017244509
06/02/2014,31.62,0.014654611
05/02/2014,31.16,-0.001923694
04/02/2014,31.22,0.000961384
03/02/2014,31.19,-0.028446925
31/01/2014,32.09,-0.007451137
30/01/2014,32.33,0.004029139
29/01/2014,32.2,-0.010810916
28/01/2014,32.55,0.009569451
27/01/2014,32.24,-0.01294317
24/01/2014,32.66,-0.029861969
23/01/2014,33.65,-0.019132298
22/01/2014,34.3,0.001166861
21/01/2014,34.26,-0.004949784
17/01/2014,34.43,0.011098245
16/01/2014,34.05,-0.00205369
15/01/2014,34.12,0.003229124
14/01/2014,34.01,0.016901811
13/01/2014,33.44,-0.017195799
10/01/2014,34.02,0.005009588
09/01/2014,33.85,0.007710596
08/01/2014,33.59,0.004176617
07/01/2014,33.45,0.01566769
06/01/2014,32.93,-0.005451255
03/01/2014,33.11,-0.001207365
02/01/2014,33.15,-0.014970339
31/12/2013,33.65,-0.000297133
30/12/2013,33.66,0.006856488
27/12/2013,33.43,-0.001195815
26/12/2013,33.47,0.001794259
24/12/2013,33.41,0.010228729
23/12/2013,33.07,0.004242431
20/12/2013,32.93,0.000911439
19/12/2013,32.9,0.009774055
18/12/2013,32.58,0.003074088
17/12/2013,32.48,-0.001230769
16/12/2013,32.52,0.005550431
13/12/2013,32.34,-0.001853569
12/12/2013,32.4,-0.003389312
11/12/2013,32.51,-0.014353583
10/12/2013,32.98,0.004558586
09/12/2013,32.83,-0.000609013
06/12/2013,32.85,0.01132723
05/12/2013,32.48,-0.004607595
04/12/2013,32.63,-0.002754401
03/12/2013,32.72,-0.004573876
02/12/2013,32.87,-0.003947174
29/11/2013,33,0.002427186
27/11/2013,32.92,-0.002427186
26/11/2013,33,0.004251449
25/11/2013,32.86,-0.008183104
22/11/2013,33.13,0.016433723
21/11/2013,32.59,0.010797575
20/11/2013,32.24,-0.004641816
19/11/2013,32.39,-0.011053229
18/11/2013,32.75,-0.003048783
15/11/2013,32.85,0.005188475
14/11/2013,32.68,-0.004579462
13/11/2013,32.83,0.021552558
12/11/2013,32.13,0.001245718
11/11/2013,32.09,0.004998448
08/11/2013,31.93,0.008491952
07/11/2013,31.66,-0.0103693
06/11/2013,31.99,0.010685205
05/11/2013,31.65,-0.006613156
04/11/2013,31.86,0.004088699
01/11/2013,31.73,-0.000945031
31/10/2013,31.76,-0.000944139
30/10/2013,31.79,0.000944139
29/10/2013,31.76,0.009808653
28/10/2013,31.45,0.00159109
25/10/2013,31.4,0.032694286
24/10/2013,30.39,0.003295982
23/10/2013,30.29,-0.002308327
22/10/2013,30.36,0.006609409
21/10/2013,30.16,0.001991371
18/10/2013,30.1,0.002661346
17/10/2013,30.02,0.008698616
16/10/2013,29.76,0.009113987
15/10/2013,29.49,-0.009449952
14/10/2013,29.77,0.008433175
11/10/2013,29.52,0.009188426
10/10/2013,29.25,0.018982451
09/10/2013,28.7,-0.004172468
08/10/2013,28.82,-0.01549351
07/10/2013,29.27,-0.010197233
04/10/2013,29.57,0.011564755
03/10/2013,29.23,-0.017633553
02/10/2013,29.75,-0.00603219
01/10/2013,29.93,0.008724888
30/09/2013,29.67,-0.01305895
27/09/2013,30.06,-0.0063008
26/09/2013,30.25,-0.002970789
25/09/2013,30.34,0.002640266
24/09/2013,30.26,-0.007244022
23/09/2013,30.48,-0.007843177
20/09/2013,30.72,0
19/09/2013,30.72,0.000325574
18/09/2013,30.71,0.003588325
17/09/2013,30.6,0.00294551
16/09/2013,30.51,0.003940892
13/09/2013,30.39,-0.002628986
12/09/2013,30.47,-0.007845741
11/09/2013,30.71,0.004242134
10/09/2013,30.58,0.024161361
09/09/2013,29.85,0.008410479
06/09/2013,29.6,0.005420067
05/09/2013,29.44,-0.001357773
04/09/2013,29.48,0.003057587
03/09/2013,29.39,0.004774907
30/08/2013,29.25,-0.013245227
29/08/2013,29.64,0.007790048
28/08/2013,29.41,0.000340078
27/08/2013,29.4,-0.020869152
26/08/2013,30.02,-0.007301725
23/08/2013,30.24,0.003976148
22/08/2013,30.12,0.011016636
21/08/2013,29.79,-0.010352405
20/08/2013,30.1,-0.005631951
19/08/2013,30.27,-0.009207563
16/08/2013,30.55,-0.014299886
15/08/2013,30.99,-0.008674753
14/08/2013,31.26,0.00064
13/08/2013,31.24,0.003848626
12/08/2013,31.12,0.004508864
09/08/2013,30.98,0.003556996
08/08/2013,30.87,0.00878483
07/08/2013,30.6,-0.004239367
06/08/2013,30.73,0.003912623
05/08/2013,30.61,0.007213146
02/08/2013,30.39,0.008924204
01/08/2013,30.12,0.012696462
31/07/2013,29.74,-0.001008234
30/07/2013,29.77,0.001008234
29/07/2013,29.74,0.002019523
26/07/2013,29.68,-0.001346802
25/07/2013,29.72,-0.00536914
24/07/2013,29.88,0.00402415
23/07/2013,29.76,-0.004358766
22/07/2013,29.89,0.008061851
19/07/2013,29.65,-0.003030816
18/07/2013,29.74,0.010478379
17/07/2013,29.43,0.002040817
16/07/2013,29.37,-0.007124712
15/07/2013,29.58,-0.011428696
12/07/2013,29.92,0.005361943
11/07/2013,29.76,0.017627575
10/07/2013,29.24,0.00583092
09/07/2013,29.07,0.011416834
08/07/2013,28.74,0.016842503
