Date,Close,HD
04/04/2014,78.72,-0.008601116
03/04/2014,79.4,-0.006903071
02/04/2014,79.95,0.007154992
01/04/2014,79.38,0.003154378
31/03/2014,79.13,0.005194817
28/03/2014,78.72,0.000508259
27/03/2014,78.68,-0.002411934
26/03/2014,78.87,-0.007578665
25/03/2014,79.47,-0.002387986
24/03/2014,79.66,-0.009495324
21/03/2014,80.42,0.004111899
20/03/2014,80.09,0.004254261
19/03/2014,79.75,-0.000877358
18/03/2014,79.82,0.003011295
17/03/2014,79.58,0.002516358
14/03/2014,79.38,0.00733345
13/03/2014,78.8,-0.022089252
12/03/2014,80.56,-0.009020759
11/03/2014,81.29,-0.010888956
10/03/2014,82.18,-0.004492207
07/03/2014,82.55,0.001697382
06/03/2014,82.41,-0.006048893
05/03/2014,82.91,0.000482567
04/03/2014,82.87,0.010553868
03/03/2014,82,-0.000365787
28/02/2014,82.03,0.000731707
27/02/2014,81.97,0.003299325
26/02/2014,81.7,0.008851791
25/02/2014,80.98,0.039161441
24/02/2014,77.87,0.001670844
21/02/2014,77.74,0.003350087
20/02/2014,77.48,0.013382906
19/02/2014,76.45,-0.014543822
18/02/2014,77.57,-0.004630233
14/02/2014,77.93,0.004372435
13/02/2014,77.59,0.004003363
12/02/2014,77.28,0.007533482
11/02/2014,76.7,0.003788131
10/02/2014,76.41,-0.000523355
07/02/2014,76.45,0.003800542
06/02/2014,76.16,0.011887605
05/02/2014,75.26,0.003860752
04/02/2014,74.97,-0.001599361
03/02/2014,75.09,-0.023168076
31/01/2014,76.85,-0.001040447
30/01/2014,76.93,0.003254999
29/01/2014,76.68,-0.023967131
28/01/2014,78.54,-0.005080021
27/01/2014,78.94,-0.00278305
24/01/2014,79.16,-0.013551023
23/01/2014,80.24,0.000498629
22/01/2014,80.2,-0.003236652
21/01/2014,80.46,-0.006688988
17/01/2014,81,-0.003204736
16/01/2014,81.26,0.002340912
15/01/2014,81.07,0.000740375
14/01/2014,81.01,0.000493888
13/01/2014,80.97,-0.012762475
10/01/2014,82.01,0.005379644
09/01/2014,81.57,-0.004403677
08/01/2014,81.93,0.005262204
07/01/2014,81.5,0.004920059
06/01/2014,81.1,-0.009693922
03/01/2014,81.89,-0.001586237
02/01/2014,82.02,-0.003893896
31/12/2013,82.34,0.004869744
30/12/2013,81.94,0.003667934
27/12/2013,81.64,0.001103009
26/12/2013,81.55,0.011221525
24/12/2013,80.64,0.000992556
23/12/2013,80.56,0.006475739
20/12/2013,80.04,0.00112507
19/12/2013,79.95,-0.00125
18/12/2013,80.05,0.018025319
17/12/2013,78.62,-0.006086755
16/12/2013,79.1,0.001138448
13/12/2013,79.01,0.006093709
12/12/2013,78.53,-0.005967135
11/12/2013,79,0.004948935
10/12/2013,78.61,-0.012515175
09/12/2013,79.6,-0.003010539
06/12/2013,79.84,0.016416583
05/12/2013,78.54,0.001784122
04/12/2013,78.4,-0.003946285
03/12/2013,78.71,-0.013377282
02/12/2013,79.77,-0.011219265
29/11/2013,80.67,0.00012397
27/11/2013,80.66,0.003850697
26/11/2013,80.35,0.007495351
25/11/2013,79.75,0.007173
22/11/2013,79.18,-0.008175632
21/11/2013,79.83,0.001002632
20/11/2013,79.75,-0.007868647
19/11/2013,80.38,0.008872286
18/11/2013,79.67,-0.004508461
15/11/2013,80.03,0.013713494
14/11/2013,78.94,0.017120643
13/11/2013,77.6,0.018468466
12/11/2013,76.18,0.010689643
11/11/2013,75.37,-0.001458403
08/11/2013,75.48,-0.002778331
07/11/2013,75.69,-0.009598391
06/11/2013,76.42,-0.003005163
05/11/2013,76.65,-0.004555817
04/11/2013,77,0.000129879
01/11/2013,76.99,-0.011622032
31/10/2013,77.89,0.000128394
30/10/2013,77.88,0.004891244
29/10/2013,77.5,0.018755434
28/10/2013,76.06,-0.002494913
25/10/2013,76.25,-0.006926774
24/10/2013,76.78,0.022389978
23/10/2013,75.08,0.002934509
22/10/2013,74.86,0.003211135
21/10/2013,74.62,-0.000937647
18/10/2013,74.69,-0.013960208
17/10/2013,75.74,0.010618629
16/10/2013,74.94,-0.003197445
15/10/2013,75.18,-0.015442794
14/10/2013,76.35,0.000393005
11/10/2013,76.32,0.010669929
10/10/2013,75.51,0.0183099
09/10/2013,74.14,-0.001751904
08/10/2013,74.27,-0.011512845
07/10/2013,75.13,-0.008614459
04/10/2013,75.78,-0.001318739
03/10/2013,75.88,-0.005781882
02/10/2013,76.32,0.000786473
01/10/2013,76.26,0.005390849
30/09/2013,75.85,-0.00144918
27/09/2013,75.96,-0.001447083
26/09/2013,76.07,0.007256447
25/09/2013,75.52,-0.006861996
24/09/2013,76.04,0.00171109
23/09/2013,75.91,-0.014256994
20/09/2013,77,-0.019420583
19/09/2013,78.51,0.014626897
18/09/2013,77.37,0.020500816
17/09/2013,75.8,0.003435975
16/09/2013,75.54,0.005708612
13/09/2013,75.11,-0.003853569
12/09/2013,75.4,0.00478597
11/09/2013,75.04,0.005880797
10/09/2013,74.6,0.013767258
09/09/2013,73.58,0.012031865
06/09/2013,72.7,-0.003981061
05/09/2013,72.99,-0.015632752
04/09/2013,74.14,0.00324237
03/09/2013,73.9,-0.00795206
30/08/2013,74.49,-0.00748967
29/08/2013,75.05,0.000266525
28/08/2013,75.03,0.012202632
27/08/2013,74.12,-0.017519672
26/08/2013,75.43,0.020627573
23/08/2013,73.89,-0.001487592
22/08/2013,74,0.003655321
21/08/2013,73.73,-0.007566581
20/08/2013,74.29,-0.012307848
19/08/2013,75.21,-0.002257787
16/08/2013,75.38,0.003188948
15/08/2013,75.14,-0.030150403
14/08/2013,77.44,-0.025498577
13/08/2013,79.44,0.003025721
12/08/2013,79.2,0.002908265
09/08/2013,78.97,-0.013458476
08/08/2013,80.04,0.015232875
07/08/2013,78.83,-0.015357804
06/08/2013,80.05,0.004883862
05/08/2013,79.66,-0.007129932
02/08/2013,80.23,0.020017034
01/08/2013,78.64,-0.004947051
31/07/2013,79.03,0.005455828
30/07/2013,78.6,-0.000890189
29/07/2013,78.67,-0.000889397
26/07/2013,78.74,-0.003169977
25/07/2013,78.99,-0.01607469
24/07/2013,80.27,0.000997133
23/07/2013,80.19,0.002372184
22/07/2013,80,0.001375946
19/07/2013,79.89,-0.001625915
18/07/2013,80.02,-0.005234961
17/07/2013,80.44,0.002738705
16/07/2013,80.22,-0.002241316
15/07/2013,80.4,-0.001739779
12/07/2013,80.54,0.008478854
11/07/2013,79.86,0.005776733
10/07/2013,79.4,-0.003771218
09/07/2013,79.7,0.006040794
08/07/2013,79.22,0.011808911
05/07/2013,78.29,0.007178598
03/07/2013,77.73,0.00541797
02/07/2013,77.31,0.00570763
01/07/2013,76.87,-0.007775081
28/06/2013,77.47,0.015611088
27/06/2013,76.27,0.007897895
26/06/2013,75.67,0.020426583
25/06/2013,74.14,0.008533746
24/06/2013,73.51,-0.004208246
21/06/2013,73.82,-0.000677094
20/06/2013,73.87,-0.027505072
19/06/2013,75.93,-0.016458052
18/06/2013,77.19,0.013696164
