Date,Close,JPM
04/04/2014,59.81,-0.014111631
03/04/2014,60.66,0.00297177
02/04/2014,60.48,-0.00313661
01/04/2014,60.67,-0.000659087
31/03/2014,60.71,0.011097422
28/03/2014,60.04,0.002000668
27/03/2014,59.92,0.000333834
26/03/2014,59.9,-0.017049159
25/03/2014,60.93,-0.002295083
24/03/2014,61.07,0.014846858
21/03/2014,60.17,0.000997672
20/03/2014,60.11,0.030574124
19/03/2014,58.3,0.004125135
18/03/2014,58.06,0.008301673
17/03/2014,57.58,0.013638959
14/03/2014,56.8,-0.010856349
13/03/2014,57.42,-0.008670073
12/03/2014,57.92,-0.004650771
11/03/2014,58.19,-0.017208023
10/03/2014,59.2,-0.003372684
07/03/2014,59.4,0.008453136
06/03/2014,58.9,0.012643257
05/03/2014,58.16,0.015595534
04/03/2014,57.26,0.018507623
03/03/2014,56.21,-0.010793699
28/02/2014,56.82,0.002290548
27/02/2014,56.69,-0.001057828
26/02/2014,56.75,-0.004921789
25/02/2014,57.03,-0.017382673
24/02/2014,58.03,0.007263954
21/02/2014,57.61,0.000520879
20/02/2014,57.58,0.005572986
19/02/2014,57.26,-0.0212535
18/02/2014,58.49,0.00582992
14/02/2014,58.15,0.002065761
13/02/2014,58.03,0.008827405
12/02/2014,57.52,0.001565899
11/02/2014,57.43,0.012087385
10/02/2014,56.74,0.00211715
07/02/2014,56.62,0.002475686
06/02/2014,56.48,0.022742497
05/02/2014,55.21,0.004720415
04/02/2014,54.95,0.011715309
03/02/2014,54.31,-0.019148939
31/01/2014,55.36,-0.011494379
30/01/2014,56,0.008428275
29/01/2014,55.53,-0.003774607
28/01/2014,55.74,0.011729811
27/01/2014,55.09,0
24/01/2014,55.09,-0.024741312
23/01/2014,56.47,-0.019639418
22/01/2014,57.59,-0.010020816
21/01/2014,58.17,0.001031992
17/01/2014,58.11,-0.015030172
16/01/2014,58.99,-0.008440293
15/01/2014,59.49,0.029858057
14/01/2014,57.74,0.000693001
13/01/2014,57.7,-0.013598626
10/01/2014,58.49,-0.004605552
09/01/2014,58.76,-0.001870272
08/01/2014,58.87,0.009386535
07/01/2014,58.32,-0.011592356
06/01/2014,59,0.00577938
03/01/2014,58.66,0.007700902
02/01/2014,58.21,-0.004627654
31/12/2013,58.48,0.009104246
30/12/2013,57.95,-0.003273325
27/12/2013,58.14,-0.00103146
26/12/2013,58.2,-0.000858738
24/12/2013,58.25,0.000171689
23/12/2013,58.24,0.00931523
20/12/2013,57.7,0.008178937
19/12/2013,57.23,-0.000174718
18/12/2013,57.24,0.026913806
17/12/2013,55.72,-0.012484557
16/12/2013,56.42,0.004440899
13/12/2013,56.17,-0.002489333
12/12/2013,56.31,0.004271229
11/12/2013,56.07,-0.011173301
10/12/2013,56.7,0.003356597
09/12/2013,56.51,0.007995068
06/12/2013,56.06,0.004290318
05/12/2013,55.82,-0.02424683
04/12/2013,57.19,0.005786952
03/12/2013,56.86,-0.002108223
02/12/2013,56.98,-0.004203159
29/11/2013,57.22,-0.004533574
27/11/2013,57.48,0.005407776
26/11/2013,57.17,-0.008360961
25/11/2013,57.65,0.003301193
22/11/2013,57.46,0.004185566
21/11/2013,57.22,0.019767675
20/11/2013,56.1,-0.000890869
19/11/2013,56.15,0.007328659
18/11/2013,55.74,0.015731271
15/11/2013,54.87,0.008602597
14/11/2013,54.4,0.00479087
13/11/2013,54.14,0.003144948
12/11/2013,53.97,-0.002405849
11/11/2013,54.1,0.002591155
08/11/2013,53.96,0.043752836
07/11/2013,51.65,-0.008674753
06/11/2013,52.1,0.002883231
05/11/2013,51.95,-0.001730936
04/11/2013,52.04,-0.008990974
01/11/2013,52.51,0.018645422
31/10/2013,51.54,-0.020357915
30/10/2013,52.6,-0.002468434
29/10/2013,52.73,0.000948677
28/10/2013,52.68,-0.001706971
25/10/2013,52.77,0.005510703
24/10/2013,52.48,-0.005131628
23/10/2013,52.75,-0.01635836
22/10/2013,53.62,-0.012049455
21/10/2013,54.27,-0.000552639
18/10/2013,54.3,0.001658834
17/10/2013,54.21,0.003881347
16/10/2013,54,0.031796489
15/10/2013,52.31,-0.007617633
14/10/2013,52.71,0.003801563
11/10/2013,52.51,-0.000190422
10/10/2013,52.52,0.034282432
09/10/2013,50.75,-0.002361741
08/10/2013,50.87,-0.018695773
07/10/2013,51.83,-0.016076901
04/10/2013,52.67,0.013956827
03/10/2013,51.94,-0.002883786
02/10/2013,52.09,0.0024988
01/10/2013,51.96,0.005209853
30/09/2013,51.69,-0.010584146
27/09/2013,52.24,0.006722392
26/09/2013,51.89,0.003668312
25/09/2013,51.7,0.027055169
24/09/2013,50.32,-0.022402194
23/09/2013,51.46,-0.025706384
20/09/2013,52.8,0.000947418
19/09/2013,52.75,-0.012434222
18/09/2013,53.41,0.006009408
17/09/2013,53.09,-0.000941354
16/09/2013,53.14,0.010403953
13/09/2013,52.59,0.006677503
12/09/2013,52.24,-0.019337095
11/09/2013,53.26,-0.007668606
10/09/2013,53.67,0.015207277
09/09/2013,52.86,0.005691535
06/09/2013,52.56,0.008598505
05/09/2013,52.11,0.004616281
04/09/2013,51.87,0.014369179
03/09/2013,51.13,0.01180419
30/08/2013,50.53,-0.003358691
29/08/2013,50.7,0.002369669
28/08/2013,50.58,-0.000395335
27/08/2013,50.6,-0.023438573
