Date,Close,K
04/04/2014,63.77,-0.040263582
03/04/2014,66.39,0.057982761
02/04/2014,62.65,0.000478965
01/04/2014,62.62,-0.001436209
31/03/2014,62.71,0.00929196
28/03/2014,62.13,0.005973058
27/03/2014,61.76,0.001134062
26/03/2014,61.69,0.000973078
25/03/2014,61.63,0.00373893
24/03/2014,61.4,-0.002927307
21/03/2014,61.58,-0.004859883
20/03/2014,61.88,0.002426989
19/03/2014,61.73,-0.001942062
18/03/2014,61.85,0.016300279
17/03/2014,60.85,-0.000821355
14/03/2014,60.9,-0.017578578
13/03/2014,61.98,-0.001451028
12/03/2014,62.07,0.00597885
11/03/2014,61.7,0.000324202
10/03/2014,61.68,0.001297859
07/03/2014,61.6,0.002763555
06/03/2014,61.43,0.00244479
05/03/2014,61.28,0.000326424
04/03/2014,61.26,0.009677759
03/03/2014,60.67,-0.000329598
28/02/2014,60.69,0.00877126
27/02/2014,60.16,-0.002821813
26/02/2014,60.33,-0.00808919
25/02/2014,60.82,0.001810253
24/02/2014,60.71,0.012597548
21/02/2014,59.95,-0.004825702
20/02/2014,60.24,0.008502177
19/02/2014,59.73,-0.006508158
18/02/2014,60.12,-0.001163661
14/02/2014,60.19,0.011866104
13/02/2014,59.48,0.001177559
12/02/2014,59.41,-0.007712983
11/02/2014,59.87,0.009060465
10/02/2014,59.33,0.016484357
07/02/2014,58.36,0.010680549
06/02/2014,57.74,0.006428656
05/02/2014,57.37,0.001919219
04/02/2014,57.26,0.006306959
03/02/2014,56.9,-0.018802782
31/01/2014,57.98,-0.002583758
30/01/2014,58.13,-0.004120178
29/01/2014,58.37,-0.028042378
28/01/2014,60.03,0.002835935
27/01/2014,59.86,0.000501295
24/01/2014,59.83,-0.011136158
23/01/2014,60.5,-0.00839442
22/01/2014,61.01,0.004106107
21/01/2014,60.76,0.004784303
17/01/2014,60.47,-0.013469323
16/01/2014,61.29,0.003104831
15/01/2014,61.1,0.003442909
14/01/2014,60.89,0.007583287
13/01/2014,60.43,-0.005775117
10/01/2014,60.78,0.008260414
09/01/2014,60.28,0.001660303
08/01/2014,60.18,-0.010249718
07/01/2014,60.8,0.009087217
06/01/2014,60.25,-0.005462233
03/01/2014,60.58,-0.003789444
02/01/2014,60.81,-0.004266498
31/12/2013,61.07,-0.003106354
30/12/2013,61.26,0.00458116
27/12/2013,60.98,0.004272808
26/12/2013,60.72,0.007770561
24/12/2013,60.25,-0.001492661
23/12/2013,60.34,-0.002978655
20/12/2013,60.52,-0.001321004
19/12/2013,60.6,0.001155783
18/12/2013,60.53,0.003143876
17/12/2013,60.34,-0.001490437
16/12/2013,60.43,-0.001157695
13/12/2013,60.5,-0.002311376
12/12/2013,60.64,-0.006574646
11/12/2013,61.04,-0.0008188
10/12/2013,61.09,-0.013817988
09/12/2013,61.94,0.004855164
06/12/2013,61.64,0.017346205
05/12/2013,60.58,-0.005268369
04/12/2013,60.9,-0.003769569
03/12/2013,61.13,0.008872881
02/12/2013,60.59,-0.000824878
29/11/2013,60.64,-0.003949972
27/11/2013,60.88,-0.013865323
26/11/2013,61.73,-0.006458928
25/11/2013,62.13,-0.005457477
22/11/2013,62.47,0.011754422
21/11/2013,61.74,0.009765703
20/11/2013,61.14,-0.009279676
19/11/2013,61.71,-0.010638398
18/11/2013,62.37,-0.003840619
15/11/2013,62.61,-0.010960319
14/11/2013,63.3,0.013198888
13/11/2013,62.47,0.00674593
12/11/2013,62.05,0.001774337
11/11/2013,61.94,-0.004028041
08/11/2013,62.19,0.001770339
07/11/2013,62.08,-0.020251031
06/11/2013,63.35,0.004112628
05/11/2013,63.09,0.005881902
04/11/2013,62.72,0.006879477
01/11/2013,62.29,-0.015294228
31/10/2013,63.25,-0.008501311
30/10/2013,63.79,-0.007652103
29/10/2013,64.28,0.012996347
28/10/2013,63.45,0.016206265
25/10/2013,62.43,0.004816965
24/10/2013,62.13,-0.003053437
23/10/2013,62.32,0.006923786
22/10/2013,61.89,0.013665415
21/10/2013,61.05,-0.006530635
18/10/2013,61.45,0.008005925
17/10/2013,60.96,0.004768569
16/10/2013,60.67,0.01127146
15/10/2013,59.99,-0.004988371
14/10/2013,60.29,-0.007765425
11/10/2013,60.76,0.001647175
10/10/2013,60.66,0.017461157
09/10/2013,59.61,0.000167771
08/10/2013,59.6,0.001343184
07/10/2013,59.52,0.002691792
04/10/2013,59.36,0.007949302
03/10/2013,58.89,0
02/10/2013,58.89,0.002380144
01/10/2013,58.75,0.000340483
30/09/2013,58.73,-0.0049257
27/09/2013,59.02,-0.013965062
26/09/2013,59.85,-0.000501128
25/09/2013,59.88,-0.001335114
24/09/2013,59.96,-0.00465891
23/09/2013,60.24,-0.005463138
20/09/2013,60.57,-0.008384759
19/09/2013,61.08,-0.002126095
18/09/2013,61.21,0.009355834
17/09/2013,60.64,-0.0055912
16/09/2013,60.98,0.0055912
13/09/2013,60.64,0.008612176
12/09/2013,60.12,0.000665557
11/09/2013,60.08,0.01037319
10/09/2013,59.46,-0.013364716
09/09/2013,60.26,0.000497967
06/09/2013,60.23,-0.003149609
05/09/2013,60.42,-0.006105126
04/09/2013,60.79,0.00065822
03/09/2013,60.75,0.000658653
30/08/2013,60.71,0.001978566
29/08/2013,60.59,-0.008054617
28/08/2013,61.08,-0.008964285
27/08/2013,61.63,-0.001135166
26/08/2013,61.7,-0.016555871
23/08/2013,62.73,0.004954065
22/08/2013,62.42,0.006106399
21/08/2013,62.04,-0.009145671
20/08/2013,62.61,-0.003030064
19/08/2013,62.8,-0.002385687
16/08/2013,62.95,-0.023704116
15/08/2013,64.46,-0.014783146
14/08/2013,65.42,-0.007310419
13/08/2013,65.9,0.002582999
12/08/2013,65.73,0.000760977
09/08/2013,65.68,0.000304553
08/08/2013,65.66,0.001981859
07/08/2013,65.53,-0.004111785
06/08/2013,65.8,0.009467165
05/08/2013,65.18,-0.000766812
02/08/2013,65.23,-0.002908536
01/08/2013,65.42,-0.012456488
31/07/2013,66.24,-0.003165275
30/07/2013,66.45,-0.006599694
29/07/2013,66.89,-0.001344588
26/07/2013,66.98,0.000149309
25/07/2013,66.97,0.001494322
24/07/2013,66.87,-0.00536914
23/07/2013,67.23,-0.003415253
22/07/2013,67.46,0.00207746
19/07/2013,67.32,0.010152371
18/07/2013,66.64,0.006926695
17/07/2013,66.18,-0.001962413
16/07/2013,66.31,-0.003161939
15/07/2013,66.52,0.000300707
12/07/2013,66.5,-0.000451026
11/07/2013,66.53,0.008452881
10/07/2013,65.97,0.000758208
09/07/2013,65.92,0.002886443
08/07/2013,65.73,0.005951036
05/07/2013,65.34,0.004294485
03/07/2013,65.06,-0.000768226
02/07/2013,65.11,0.003384619
01/07/2013,64.89,0.010223137
28/06/2013,64.23,-0.002953753
27/06/2013,64.42,0.014069327
26/06/2013,63.52,0.005367022
25/06/2013,63.18,-0.001265423
24/06/2013,63.26,0.00015809
21/06/2013,63.25,0.010809198
20/06/2013,62.57,-0.020563838
19/06/2013,63.87,-0.016305975
18/06/2013,64.92,0.003703708
17/06/2013,64.68,0.006825965
14/06/2013,64.24,0.000155678
13/06/2013,64.23,0.021878578
12/06/2013,62.84,-0.002542913
11/06/2013,63,-0.001110494
10/06/2013,63.07,-0.0050609
07/06/2013,63.39,0.021526782
06/06/2013,62.04,0.004037799
05/06/2013,61.79,-0.020186523
04/06/2013,63.05,0.006683666
03/06/2013,62.63,0.009303885
31/05/2013,62.05,-0.014400249
30/05/2013,62.95,-0.01042993
29/05/2013,63.61,-0.017299582
28/05/2013,64.72,0.004180543
24/05/2013,64.45,-0.003716901
23/05/2013,64.69,-0.006317919
22/05/2013,65.1,-0.00505632
21/05/2013,65.43,0.008441459
20/05/2013,64.88,-0.011950502
17/05/2013,65.66,-0.002433831
16/05/2013,65.82,-0.001214698
15/05/2013,65.9,0.009452731
14/05/2013,65.28,0.013261567
13/05/2013,64.42,0.002020046
10/05/2013,64.29,0.005928254
09/05/2013,63.91,-0.004838845
08/05/2013,64.22,0.004995327
07/05/2013,63.9,0.007224784
06/05/2013,63.44,-0.003461845
03/05/2013,63.66,0.003777153
02/05/2013,63.42,-0.018589928
01/05/2013,64.61,-0.006633268
30/04/2013,65.04,-0.006742287
29/04/2013,65.48,-0.003354173
26/04/2013,65.7,-0.001520913
25/04/2013,65.8,0.005638969
24/04/2013,65.43,-0.016371443
23/04/2013,66.51,0.004822918
22/04/2013,66.19,0.001360647
19/04/2013,66.1,0.018321123
18/04/2013,64.9,0.004633213
17/04/2013,64.6,-0.005249356
16/04/2013,64.94,0.019279204
15/04/2013,63.7,-0.015576639
12/04/2013,64.7,0.006512661
11/04/2013,64.28,-0.00527542
10/04/2013,64.62,0.011674193
09/04/2013,63.87,-0.001564456
08/04/2013,63.97,0.00517202
05/04/2013,63.64,-0.005797118
04/04/2013,64.01,0.009102386
03/04/2013,63.43,-0.013467163
02/04/2013,64.29,0.005615363
01/04/2013,63.93,-0.007790628
28/03/2013,64.43,-0.002635048
27/03/2013,64.6,0.009331327
26/03/2013,64,0.010050336
25/03/2013,63.36,-0.000473373
22/03/2013,63.39,0.011104175
21/03/2013,62.69,-0.008893182
20/03/2013,63.25,0.012408686
19/03/2013,62.47,0.003046095
18/03/2013,62.28,0.001285347
15/03/2013,62.2,-0.000482199
14/03/2013,62.23,0.003702814
13/03/2013,62,0.004364349
12/03/2013,61.73,0.001621271
11/03/2013,61.63,0.00178644
08/03/2013,61.52,0.000813074
07/03/2013,61.47,0.000813736
06/03/2013,61.42,0
05/03/2013,61.42,0.006042314
04/03/2013,61.05,0.007728395
01/03/2013,60.58,0.001321441
28/02/2013,60.5,0.000165303
27/02/2013,60.49,0.008967181
26/02/2013,59.95,0.015465092
25/02/2013,59.03,-0.016465426
22/02/2013,60.01,0.005681833
21/02/2013,59.67,-0.001674481
20/02/2013,59.77,-0.006171315
19/02/2013,60.14,0.006171315
15/02/2013,59.77,0.003183916
14/02/2013,59.58,0.00487929
13/02/2013,59.29,0.000674878
12/02/2013,59.25,0.002196503
11/02/2013,59.12,0.003558421
08/02/2013,58.91,-0.001526588
07/02/2013,59,0.000169506
06/02/2013,58.99,0.008341184
05/02/2013,58.5,0.00686109
04/02/2013,58.1,-0.009421911
01/02/2013,58.65,0.002560821
31/01/2013,58.5,-0.003583316
30/01/2013,58.71,-0.001871863
29/01/2013,58.82,0.006994825
28/01/2013,58.41,-0.007334788
25/01/2013,58.84,0.004257862
24/01/2013,58.59,0.007194276
23/01/2013,58.17,-0.000343761
22/01/2013,58.19,-0.000343643
18/01/2013,58.21,0.007760667
17/01/2013,57.76,0.012719049
16/01/2013,57.03,-0.001576873
15/01/2013,57.12,-0.004541493
14/01/2013,57.38,0.006293727
11/01/2013,57.02,-0.005073045
10/01/2013,57.31,0.005599315
09/01/2013,56.99,0.002459594
08/01/2013,56.85,0.003347726
07/01/2013,56.66,0.000353045
04/01/2013,56.64,0.002120892
03/01/2013,56.52,-0.006876515
02/01/2013,56.91,0.018801547
31/12/2012,55.85,0.009354269
28/12/2012,55.33,-0.007382765
27/12/2012,55.74,-0.000538068
26/12/2012,55.77,-0.006612481
24/12/2012,56.14,-0.000712251
21/12/2012,56.18,-0.007271469
20/12/2012,56.59,0.00780561
19/12/2012,56.15,-0.007982304
18/12/2012,56.6,-0.004583121
17/12/2012,56.86,0.002465224
14/12/2012,56.72,-0.000528774
13/12/2012,56.75,0.002646671
12/12/2012,56.6,-0.001059509
11/12/2012,56.66,0.009398065
10/12/2012,56.13,0.002854596
07/12/2012,55.97,0.004117811
06/12/2012,55.74,0.001615944
05/12/2012,55.65,0.007575794
04/12/2012,55.23,-0.000543036
03/12/2012,55.26,-0.003612721
30/11/2012,55.46,-0.002521161
29/11/2012,55.6,-0.003232181
28/11/2012,55.78,0.005933668
27/11/2012,55.45,0.001082642
26/11/2012,55.39,0.002349753
23/11/2012,55.26,0.003807456
21/11/2012,55.05,0.004186772
20/11/2012,54.82,0.001460387
19/11/2012,54.74,0.010467454
16/11/2012,54.17,0.005182318
15/11/2012,53.89,0.003904439
14/11/2012,53.68,-0.002604653
13/11/2012,53.82,0.002790959
12/11/2012,53.67,0.003546434
09/11/2012,53.48,-0.003546434
08/11/2012,53.67,-0.009088442
07/11/2012,54.16,-0.011017372
06/11/2012,54.76,0.014161156
05/11/2012,53.99,0.00557208
02/11/2012,53.69,0.003545111
01/11/2012,53.5,0.022302947
31/10/2012,52.32,-0.011024632
26/10/2012,52.9,0.006447965
25/10/2012,52.56,0.014179199
24/10/2012,51.82,0.00328598
23/10/2012,51.65,-0.006945812
22/10/2012,52.01,-0.001536984
19/10/2012,52.09,-0.007840178
18/10/2012,52.5,-0.006644543
17/10/2012,52.85,0.014868745
16/10/2012,52.07,0.007131186
15/10/2012,51.7,-0.000580103
12/10/2012,51.73,0.002516212
11/10/2012,51.6,0.003300013
10/10/2012,51.43,-0.002912341
09/10/2012,51.58,-0.005799359
08/10/2012,51.88,-0.001348358
05/10/2012,51.95,0.001348358
04/10/2012,51.88,0.001350179
03/10/2012,51.81,-0.001735609
02/10/2012,51.9,-0.000577868
01/10/2012,51.93,0.00521287
28/09/2012,51.66,0.000193592
27/09/2012,51.65,-0.000967586
26/09/2012,51.7,-0.003089999
25/09/2012,51.86,0.002509896
24/09/2012,51.73,0.005427422
21/09/2012,51.45,0.003504676
20/09/2012,51.27,0.006457316
19/09/2012,50.94,0.012643392
18/09/2012,50.3,-0.003374023
17/09/2012,50.47,0.005563297
14/09/2012,50.19,-0.012474174
13/09/2012,50.82,0.008894218
12/09/2012,50.37,-0.001190476
11/09/2012,50.43,0.003177758
10/09/2012,50.27,-0.002384265
07/09/2012,50.39,-0.000198432
06/09/2012,50.4,0.004175371
05/09/2012,50.19,-0.009123427
04/09/2012,50.65,0
31/08/2012,50.65,0.001778481
30/08/2012,50.56,-0.016866452
29/08/2012,51.42,-0.004656586
28/08/2012,51.66,0.000193592
27/08/2012,51.65,0.003296813
24/08/2012,51.48,0.006235406
23/08/2012,51.16,0.001760736
22/08/2012,51.07,-0.00624636
21/08/2012,51.39,0.000194609
20/08/2012,51.38,0.005464494
17/08/2012,51.1,-0.000195676
16/08/2012,51.11,0.002742948
15/08/2012,50.97,0.003144039
14/08/2012,50.81,0.002167275
13/08/2012,50.7,-0.005507488
10/08/2012,50.98,0.004521781
09/08/2012,50.75,0.001774973
08/08/2012,50.66,0.008126098
07/08/2012,50.25,0.003588521
06/08/2012,50.07,-0.005576593
03/08/2012,50.35,0.018238806
02/08/2012,49.44,0.033524991
01/08/2012,47.81,0.002303425
31/07/2012,47.7,0.006309169
30/07/2012,47.4,0.004440223
27/07/2012,47.19,0.012366895
26/07/2012,46.61,0.002147767
25/07/2012,46.51,-0.000429923
24/07/2012,46.53,-0.013236743
23/07/2012,47.15,-0.010338735
20/07/2012,47.64,-0.008985537
19/07/2012,48.07,0.000208052
18/07/2012,48.06,-0.006636275
17/07/2012,48.38,0.000620283
16/07/2012,48.35,-0.023506448
13/07/2012,49.5,0.007502823
12/07/2012,49.13,-0.007098701
11/07/2012,49.48,0.010156496
10/07/2012,48.98,0.006760243
09/07/2012,48.65,-0.009614475
06/07/2012,49.12,-0.007504345
05/07/2012,49.49,-0.001009795
03/07/2012,49.54,0.001818366
02/07/2012,49.45,0.002429643
29/06/2012,49.33,0.008959539
28/06/2012,48.89,0.003893847
27/06/2012,48.7,0.005353111
26/06/2012,48.44,-0.005968938
25/06/2012,48.73,-0.004913009
22/06/2012,48.97,0.003272656
21/06/2012,48.81,-0.012824603
20/06/2012,49.44,-0.003231021
19/06/2012,49.6,0.00404041
18/06/2012,49.4,0.003041057
15/06/2012,49.25,0.002439521
14/06/2012,49.13,0.015383341
13/06/2012,48.38,-0.000206676
12/06/2012,48.39,-0.002682903
11/06/2012,48.52,-0.00226454
08/06/2012,48.63,0.004740811
07/06/2012,48.4,0.000620027
06/06/2012,48.37,0.003105914
05/06/2012,48.22,-0.000829187
04/06/2012,48.26,0.000829187
01/06/2012,48.22,-0.01154652
31/05/2012,48.78,-0.011819987
30/05/2012,49.36,-0.022436839
29/05/2012,50.48,0.004168741
25/05/2012,50.27,0.001393451
24/05/2012,50.2,0.001994019
23/05/2012,50.1,-0.005970167
22/05/2012,50.4,0.000595415
21/05/2012,50.37,0
18/05/2012,50.37,-0.00672737
17/05/2012,50.71,-0.004329011
16/05/2012,50.93,-0.000981258
15/05/2012,50.98,0.000392388
14/05/2012,50.96,-0.000588524
11/05/2012,50.99,0.001177394
10/05/2012,50.93,0.003343498
09/05/2012,50.76,0.000197025
08/05/2012,50.75,0.00454232
07/05/2012,50.52,0.002576555
04/05/2012,50.39,-0.007118875
03/05/2012,50.75,0.003948672
02/05/2012,50.55,0.01093994
01/05/2012,50,-0.01133551
30/04/2012,50.57,0.004359896
27/04/2012,50.35,0.000794755
26/04/2012,50.31,-0.003571432
25/04/2012,50.49,0.001189061
24/04/2012,50.43,-0.005339675
23/04/2012,50.7,-0.062872934
20/04/2012,53.99,0.003525377
19/04/2012,53.8,0.004097603
18/04/2012,53.58,-0.003725787
17/04/2012,53.78,0.005219997
16/04/2012,53.5,0.00487166
13/04/2012,53.24,0.000751597
12/04/2012,53.2,0.003577821
11/04/2012,53.01,0.001510289
10/04/2012,52.93,0.000756001
09/04/2012,52.89,-0.005468101
05/04/2012,53.18,-0.002441545
04/04/2012,53.31,-0.001312213
03/04/2012,53.38,-0.006721459
02/04/2012,53.74,0.00204899
30/03/2012,53.63,0.00448515
29/03/2012,53.39,0.001499532
28/03/2012,53.31,0.003758696
27/03/2012,53.11,0.005286023
26/03/2012,52.83,0.007981798
23/03/2012,52.41,-0.002667685
22/03/2012,52.55,0.001332953
21/03/2012,52.48,-0.003803732
20/03/2012,52.68,0.001519757
19/03/2012,52.6,-0.000380156
16/03/2012,52.62,-0.005685064
15/03/2012,52.92,0.008349195
14/03/2012,52.48,-0.007971194
13/03/2012,52.9,0.001324128
12/03/2012,52.83,0.007409552
09/03/2012,52.44,0.000381461
08/03/2012,52.42,0.00939154
07/03/2012,51.93,0.001734606
06/03/2012,51.84,-0.00481094
05/03/2012,52.09,-0.000383877
02/03/2012,52.11,-0.002874391
01/03/2012,52.26,-0.001720677
29/02/2012,52.35,0.000382117
28/02/2012,52.33,-0.010833518
