Date,Close,L
04/04/2014,44.7,-0.00401876
03/04/2014,44.88,0.005137954
02/04/2014,44.65,0.006741599
01/04/2014,44.35,0.006787356
31/03/2014,44.05,0.014405188
28/03/2014,43.42,0.009022618
27/03/2014,43.03,-0.003248263
26/03/2014,43.17,-0.009681957
25/03/2014,43.59,0
24/03/2014,43.59,-0.014575526
21/03/2014,44.23,0.007261207
20/03/2014,43.91,0.005251753
19/03/2014,43.68,-0.005707127
18/03/2014,43.93,-0.000910125
17/03/2014,43.97,0
14/03/2014,43.97,-0.009281334
13/03/2014,44.38,-0.007184584
12/03/2014,44.7,0.006959283
11/03/2014,44.39,-0.005616099
10/03/2014,44.64,-0.009142666
07/03/2014,45.05,0.014533515
06/03/2014,44.4,0.008141158
05/03/2014,44.04,0.003411808
04/03/2014,43.89,0.017004086
03/03/2014,43.15,-0.007618645
28/02/2014,43.48,-0.001838236
27/02/2014,43.56,0.001608271
26/02/2014,43.49,0.001150351
25/02/2014,43.44,-0.003217654
24/02/2014,43.58,0.001837391
21/02/2014,43.5,-0.003900429
20/02/2014,43.67,0.007354664
19/02/2014,43.35,-0.013290755
18/02/2014,43.93,-0.002273762
14/02/2014,44.03,0.000908884
13/02/2014,43.99,0.003187617
12/02/2014,43.85,0
11/02/2014,43.85,0.013546298
10/02/2014,43.26,-0.043426091
07/02/2014,45.18,0.009786555
06/02/2014,44.74,0.004704837
05/02/2014,44.53,0.000224593
04/02/2014,44.52,0.025248697
03/02/2014,43.41,-0.026819789
31/01/2014,44.59,-0.016680026
30/01/2014,45.34,0.017128658
29/01/2014,44.57,-0.00826728
28/01/2014,44.94,0.006697949
27/01/2014,44.64,-0.000223989
24/01/2014,44.65,-0.029787089
23/01/2014,46,-0.025752496
22/01/2014,47.2,0.004671913
21/01/2014,46.98,-0.007422365
17/01/2014,47.33,0.006358648
16/01/2014,47.03,-0.00339631
15/01/2014,47.19,0.011294739
14/01/2014,46.66,0.007097567
13/01/2014,46.33,-0.011374734
10/01/2014,46.86,0.001067578
09/01/2014,46.81,0.001068719
08/01/2014,46.76,-0.005119465
07/01/2014,47,-0.003398474
06/01/2014,47.16,-0.002118196
03/01/2014,47.26,-0.002535927
02/01/2014,47.38,-0.017988354
31/12/2013,48.24,0.005821222
30/12/2013,47.96,0.006065061
27/12/2013,47.67,-0.007523546
26/12/2013,48.03,0.000624805
24/12/2013,48,0.004803184
23/12/2013,47.77,0.003144986
20/12/2013,47.62,0.007376996
19/12/2013,47.27,-0.002746384
18/12/2013,47.4,0.020461072
17/12/2013,46.44,-0.007294604
16/12/2013,46.78,0.004713958
13/12/2013,46.56,-0.001073307
12/12/2013,46.61,0.001073307
11/12/2013,46.56,-0.018091373
10/12/2013,47.41,-0.003369134
09/12/2013,47.57,0.005903454
06/12/2013,47.29,0.016631513
05/12/2013,46.51,-0.005360793
04/12/2013,46.76,-0.005757559
03/12/2013,47.03,-0.006781124
02/12/2013,47.35,0
29/11/2013,47.35,-0.003162891
27/11/2013,47.5,-0.007341407
26/11/2013,47.85,-0.004171018
25/11/2013,48.05,-0.003946417
22/11/2013,48.24,0.00207512
21/11/2013,48.14,0.011700927
20/11/2013,47.58,-0.003357116
19/11/2013,47.74,-0.004180608
18/11/2013,47.94,-0.002708053
15/11/2013,48.07,0.000208052
14/11/2013,48.06,0.000208095
13/11/2013,48.05,0.003753132
12/11/2013,47.87,-0.01101081
11/11/2013,48.4,-0.003506243
08/11/2013,48.57,0.017236435
07/11/2013,47.74,-0.013110166
06/11/2013,48.37,0.005181896
05/11/2013,48.12,-0.003526609
04/11/2013,48.29,-0.001034875
01/11/2013,48.34,0.000620797
31/10/2013,48.31,-0.012752127
30/10/2013,48.93,-0.004282662
29/10/2013,49.14,0.008994337
28/10/2013,48.7,-0.00225618
25/10/2013,48.81,0.004517461
24/10/2013,48.59,0.00309183
23/10/2013,48.44,-0.015567705
22/10/2013,49.2,0.005707313
21/10/2013,48.92,-0.003061539
18/10/2013,49.07,0.006337545
17/10/2013,48.76,0.00431611
16/10/2013,48.55,0.010143964
15/10/2013,48.06,-0.010349916
14/10/2013,48.56,0.004747661
11/10/2013,48.33,0.004146803
10/10/2013,48.13,0.034668448
09/10/2013,46.49,0.006906999
08/10/2013,46.17,-0.014834197
07/10/2013,46.86,-0.00425895
04/10/2013,47.06,0.018227158
03/10/2013,46.21,-0.018014641
02/10/2013,47.05,-0.00233521
01/10/2013,47.16,0.008945747
30/09/2013,46.74,-0.004482877
27/09/2013,46.95,-0.008272398
26/09/2013,47.34,0.003809528
25/09/2013,47.16,0
24/09/2013,47.16,0.001273075
23/09/2013,47.1,-0.007192754
20/09/2013,47.44,-0.003367007
19/09/2013,47.6,0.003788681
18/09/2013,47.42,0.002533785
17/09/2013,47.3,0.006362694
16/09/2013,47,0.016518664
13/09/2013,46.23,0.004552853
12/09/2013,46.02,-0.001953762
11/09/2013,46.11,0.008275309
10/09/2013,45.73,0.005481869
09/09/2013,45.48,0.017522906
06/09/2013,44.69,-0.002681566
05/09/2013,44.81,-0.003564272
04/09/2013,44.97,0.009832481
03/09/2013,44.53,0.001573211
30/08/2013,44.46,-0.00314395
29/08/2013,44.6,-0.009150828
28/08/2013,45.01,-0.001332149
27/08/2013,45.07,-0.017594472
26/08/2013,45.87,-0.00174254
23/08/2013,45.95,0.00043535
22/08/2013,45.93,0.00808836
21/08/2013,45.56,-0.004598716
20/08/2013,45.77,0.002187227
19/08/2013,45.67,-0.016073326
16/08/2013,46.41,-0.011994147
15/08/2013,46.97,-0.011851991
14/08/2013,47.53,0.006967198
13/08/2013,47.2,0.016663492
12/08/2013,46.42,0.005183597
09/08/2013,46.18,0.003253446
08/08/2013,46.03,0.008289751
07/08/2013,45.65,-0.005897145
06/08/2013,45.92,-0.004345943
05/08/2013,46.12,-0.00367926
02/08/2013,46.29,-0.006030602
01/08/2013,46.57,0.022145933
31/07/2013,45.55,-0.004381168
30/07/2013,45.75,-0.006753103
29/07/2013,46.06,0.000217132
26/07/2013,46.05,-0.001518933
25/07/2013,46.12,-0.000866927
24/07/2013,46.16,-0.00583218
23/07/2013,46.43,-0.007082335
22/07/2013,46.76,0.005360793
19/07/2013,46.51,0.003661824
18/07/2013,46.34,0.007581537
17/07/2013,45.99,0.00720134
16/07/2013,45.66,-0.003279767
15/07/2013,45.81,0.002841843
12/07/2013,45.68,0.005047745
11/07/2013,45.45,0.009950331
10/07/2013,45,-0.005982072
09/07/2013,45.27,0.006204319
08/07/2013,44.99,0.002670823
05/07/2013,44.87,0.013688085
03/07/2013,44.26,-0.005407855
02/07/2013,44.5,-0.004036785
01/07/2013,44.68,0.006286505
28/06/2013,44.4,-0.002474414
27/06/2013,44.51,0.0122063
26/06/2013,43.97,0.002732864
25/06/2013,43.85,0.014471368
24/06/2013,43.22,-0.008294978
21/06/2013,43.58,0
20/06/2013,43.58,-0.024255978
19/06/2013,44.65,-0.011578842
18/06/2013,45.17,0.00666373
17/06/2013,44.87,0.006484092
14/06/2013,44.58,-0.009154915
13/06/2013,44.99,0.012525326
12/06/2013,44.43,-0.007846694
11/06/2013,44.78,-0.012648565
10/06/2013,45.35,-0.008563012
07/06/2013,45.74,0.013869237
06/06/2013,45.11,0.008906761
05/06/2013,44.71,-0.01200548
04/06/2013,45.25,-0.012518007
03/06/2013,45.82,0
31/05/2013,45.82,-0.008042647
30/05/2013,46.19,0.000216521
29/05/2013,46.18,-0.000432994
28/05/2013,46.2,0.005425949
24/05/2013,45.95,-0.002391046
23/05/2013,46.06,-0.007139024
22/05/2013,46.39,-0.005803348
21/05/2013,46.66,-0.001071008
20/05/2013,46.71,0.005797118
17/05/2013,46.44,0.008650573
16/05/2013,46.04,-0.005199318
15/05/2013,46.28,0.006068506
14/05/2013,46,0.011808578
13/05/2013,45.46,0.000219998
10/05/2013,45.45,0.001321004
09/05/2013,45.39,-0.008555498
08/05/2013,45.78,0.00306279
07/05/2013,45.64,0.000438308
06/05/2013,45.62,0.00439368
03/05/2013,45.42,0.010846814
02/05/2013,44.93,0.004461306
01/05/2013,44.73,0.001342282
30/04/2013,44.67,0.003139016
29/04/2013,44.53,0.002023155
26/04/2013,44.44,-0.012744723
25/04/2013,45.01,0.011170804
24/04/2013,44.51,0.019739722
23/04/2013,43.64,0.01500663
22/04/2013,42.99,-0.004409895
19/04/2013,43.18,0.004177309
18/04/2013,43,-0.002786811
17/04/2013,43.12,-0.006242073
16/04/2013,43.39,0.017905373
15/04/2013,42.62,-0.031638709
12/04/2013,43.99,-0.000227299
11/04/2013,44,-0.000227247
10/04/2013,44.01,0.002502561
09/04/2013,43.9,-0.001593263
08/04/2013,43.97,0.003873766
