Date,Close,MPC
04/04/2014,87.1,-0.000803351
03/04/2014,87.17,0.000114725
02/04/2014,87.16,-0.026939943
01/04/2014,89.54,0.02831767
31/03/2014,87.04,-0.007211982
28/03/2014,87.67,0.004343857
27/03/2014,87.29,-0.020523426
26/03/2014,89.1,-0.017136282
25/03/2014,90.64,0.011428696
24/03/2014,89.61,-0.011980177
21/03/2014,90.69,-0.01336274
20/03/2014,91.91,0.002832863
19/03/2014,91.65,-0.026806062
18/03/2014,94.14,0.006073217
17/03/2014,93.57,-0.004372174
14/03/2014,93.98,0.015332955
13/03/2014,92.55,-0.020850795
12/03/2014,94.5,0.034558582
11/03/2014,91.29,0.002303011
10/03/2014,91.08,0.011928571
07/03/2014,90,0.005794534
06/03/2014,89.48,0.037577004
05/03/2014,86.18,0.017440601
04/03/2014,84.69,0.015708999
03/03/2014,83.37,-0.007528266
28/02/2014,84,-0.001784122
27/02/2014,84.15,-0.045190336
26/02/2014,88.04,-0.020795444
25/02/2014,89.89,0.019887179
24/02/2014,88.12,0.009234518
21/02/2014,87.31,-0.007303467
20/02/2014,87.95,0.010630494
19/02/2014,87.02,-0.007783922
18/02/2014,87.7,-0.000114019
14/02/2014,87.71,0.024584307
13/02/2014,85.58,0.01625669
12/02/2014,84.2,-0.003083128
11/02/2014,84.46,0.023237361
10/02/2014,82.52,-0.023355754
07/02/2014,84.47,0.013587813
06/02/2014,83.33,0.012316021
05/02/2014,82.31,-0.011355522
04/02/2014,83.25,-0.013008119
03/02/2014,84.34,-0.031626418
31/01/2014,87.05,-0.005156127
30/01/2014,87.5,0.011263192
29/01/2014,86.52,0.039488895
28/01/2014,83.17,-0.003959926
27/01/2014,83.5,0.006247017
24/01/2014,82.98,-0.02921476
23/01/2014,85.44,-0.001637236
22/01/2014,85.58,-0.008725551
21/01/2014,86.33,0.012237202
17/01/2014,85.28,-0.004912865
16/01/2014,85.7,-0.011024191
15/01/2014,86.65,-0.027882318
14/01/2014,89.1,0.010605989
13/01/2014,88.16,-0.031376436
10/01/2014,90.97,-0.000769189
09/01/2014,91.04,0.026264586
08/01/2014,88.68,-0.003601985
07/01/2014,89,0.003263747
06/01/2014,88.71,0.005085619
03/01/2014,88.26,-0.013728133
