Date,Close,NE
04/04/2014,31.3,-0.006051938
03/04/2014,31.49,-0.014502146
02/04/2014,31.95,-0.001876173
01/04/2014,32.01,-0.022549218
31/03/2014,32.74,0.008280986
28/03/2014,32.47,0.013643622
27/03/2014,32.03,0.008780238
26/03/2014,31.75,0.000945329
25/03/2014,31.72,0.01205216
24/03/2014,31.34,-0.008894595
21/03/2014,31.62,0.017547108
20/03/2014,31.07,0.037047344
19/03/2014,29.94,0.010408017
18/03/2014,29.63,0.015646578
17/03/2014,29.17,0.003090131
14/03/2014,29.08,0.003444716
13/03/2014,28.98,-0.046520016
12/03/2014,30.36,-0.019893041
11/03/2014,30.97,-0.009959922
10/03/2014,31.28,-0.012706651
07/03/2014,31.68,0.001263424
06/03/2014,31.64,0.004434597
05/03/2014,31.5,0.015033067
04/03/2014,31.03,-0.000322217
03/03/2014,31.04,-0.000322113
28/02/2014,31.05,-0.004498722
27/02/2014,31.19,0.003533005
26/02/2014,31.08,-0.007053572
25/02/2014,31.3,-0.011120051
24/02/2014,31.65,0.015602928
21/02/2014,31.16,-0.003843695
20/02/2014,31.28,0.002560821
19/02/2014,31.2,0.004819286
18/02/2014,31.05,-0.003536413
14/02/2014,31.16,-0.007672672
13/02/2014,31.4,0.004468568
12/02/2014,31.26,-0.005741643
11/02/2014,31.44,0.026427577
10/02/2014,30.62,-0.002609264
07/02/2014,30.7,0.00457069
06/02/2014,30.56,0.002293203
05/02/2014,30.49,-0.02013055
04/02/2014,31.11,0.006126087
03/02/2014,30.92,-0.003551255
31/01/2014,31.03,-0.019467664
30/01/2014,31.64,-0.000631912
29/01/2014,31.66,-0.018463989
28/01/2014,32.25,-0.010794245
27/01/2014,32.6,-0.010375436
24/01/2014,32.94,-0.005751492
23/01/2014,33.13,-0.090000165
22/01/2014,36.25,0.021752113
21/01/2014,35.47,0.002257974
17/01/2014,35.39,0.003963765
16/01/2014,35.25,-0.011003073
15/01/2014,35.64,-0.010605737
14/01/2014,36.02,0.023880893
13/01/2014,35.17,-0.037392749
10/01/2014,36.51,0
09/01/2014,36.51,0.007698691
08/01/2014,36.23,-0.019136724
07/01/2014,36.93,-0.000270746
06/01/2014,36.94,0.005973409
03/01/2014,36.72,0.002453989
02/01/2014,36.63,-0.022673036
31/12/2013,37.47,0.026228352
30/12/2013,36.5,-0.012794512
27/12/2013,36.97,0.011699222
26/12/2013,36.54,-0.004369204
24/12/2013,36.7,0.01620692
23/12/2013,36.11,-0.005798718
20/12/2013,36.32,-0.004943707
19/12/2013,36.5,-0.005191978
18/12/2013,36.69,-0.005707313
17/12/2013,36.9,-0.00486619
16/12/2013,37.08,0.014396555
13/12/2013,36.55,-0.013317224
12/12/2013,37.04,0.003515893
11/12/2013,36.91,-0.027786987
10/12/2013,37.95,-0.006827758
09/12/2013,38.21,0.009466282
06/12/2013,37.85,0.004236173
05/12/2013,37.69,-0.017620443
04/12/2013,38.36,-0.003123376
03/12/2013,38.48,0.007041364
02/12/2013,38.21,0.002358183
29/11/2013,38.12,-0.003404481
27/11/2013,38.25,-0.007293598
26/11/2013,38.53,0.015431194
25/11/2013,37.94,-0.041812542
22/11/2013,39.56,0.00405269
21/11/2013,39.4,-0.000761132
20/11/2013,39.43,0.005595132
19/11/2013,39.21,0.007166655
18/11/2013,38.93,-0.020593076
15/11/2013,39.74,-0.016719042
14/11/2013,40.41,0.004215753
13/11/2013,40.24,0.013258481
12/11/2013,39.71,-0.012015163
11/11/2013,40.19,0.015799702
08/11/2013,39.56,0.037866726
07/11/2013,38.09,0.012415957
06/11/2013,37.62,0.014997603
05/11/2013,37.06,-0.013135157
04/11/2013,37.55,0.010709607
01/11/2013,37.15,-0.014696323
31/10/2013,37.7,-0.00924099
30/10/2013,38.05,-0.007331795
29/10/2013,38.33,-0.008313896
28/10/2013,38.65,0.014857565
25/10/2013,38.08,0.005265942
24/10/2013,37.88,0
23/10/2013,37.88,-0.012070469
22/10/2013,38.34,0.011542626
21/10/2013,37.9,-0.002108593
18/10/2013,37.98,0.013252248
17/10/2013,37.48,-0.002664537
16/10/2013,37.58,0.005871381
15/10/2013,37.36,-0.013294532
14/10/2013,37.86,0.004235051
11/10/2013,37.7,-0.007399611
10/10/2013,37.98,0.015656416
09/10/2013,37.39,0.001605996
08/10/2013,37.33,-0.017525674
07/10/2013,37.99,-0.018516633
04/10/2013,38.7,0.017727263
03/10/2013,38.02,-0.004461364
02/10/2013,38.19,-0.002876195
01/10/2013,38.3,0.013934759
30/09/2013,37.77,0.004511086
27/09/2013,37.6,-0.015831465
26/09/2013,38.2,-0.010416761
25/09/2013,38.6,0.017509921
24/09/2013,37.93,-0.004734359
23/09/2013,38.11,-0.003666845
20/09/2013,38.25,-0.015049583
19/09/2013,38.83,-0.014064929
18/09/2013,39.38,0.016901811
17/09/2013,38.72,-0.01104416
