Date,Close,NKE
04/04/2014,72.84,-0.015664694
03/04/2014,73.99,-0.007405945
02/04/2014,74.54,0.00201437
01/04/2014,74.39,0.007150115
31/03/2014,73.86,0.004341934
28/03/2014,73.54,0.002996053
27/03/2014,73.32,0.001364815
26/03/2014,73.22,-0.005855535
25/03/2014,73.65,-0.01629556
24/03/2014,74.86,-0.004664498
21/03/2014,75.21,-0.052575546
20/03/2014,79.27,0.001514961
19/03/2014,79.15,-0.006171693
18/03/2014,79.64,0.008321823
17/03/2014,78.98,0.008391658
14/03/2014,78.32,-0.002677719
13/03/2014,78.53,-0.005587316
12/03/2014,78.97,0.002155037
11/03/2014,78.8,-0.002281659
10/03/2014,78.98,-0.006059095
07/03/2014,79.46,0.015728381
06/03/2014,78.22,0.010280224
05/03/2014,77.42,-0.015380975
04/03/2014,78.62,0.015768547
03/03/2014,77.39,-0.01169003
28/02/2014,78.3,0.003582399
27/02/2014,78.02,-0.005113793
26/02/2014,78.42,0.003960907
25/02/2014,78.11,0.003462652
24/02/2014,77.84,0.017626169
21/02/2014,76.48,0.011837571
20/02/2014,75.58,0.010106469
19/02/2014,74.82,-0.005198972
18/02/2014,75.21,0.001863189
14/02/2014,75.07,0.002667735
13/02/2014,74.87,0.0102028
12/02/2014,74.11,0.00175569
11/02/2014,73.98,0.017866142
10/02/2014,72.67,-0.000275179
07/02/2014,72.69,0.016366523
06/02/2014,71.51,0.012807156
05/02/2014,70.6,0.001275601
04/02/2014,70.51,-0.005233763
03/02/2014,70.88,-0.027414226
31/01/2014,72.85,-0.014851421
30/01/2014,73.94,0.029787392
29/01/2014,71.77,-0.013012365
28/01/2014,72.71,0.011202662
27/01/2014,71.9,0.00348311
24/01/2014,71.65,-0.0149608
23/01/2014,72.73,-0.010531452
22/01/2014,73.5,-0.003395589
21/01/2014,73.75,0.004893309
17/01/2014,73.39,-0.0188965
16/01/2014,74.79,-0.008520888
15/01/2014,75.43,0.003452859
14/01/2014,75.17,-0.000133023
13/01/2014,75.18,-0.022880683
10/01/2014,76.92,-0.00220765
09/01/2014,77.09,0
08/01/2014,77.09,-0.005175325
07/01/2014,77.49,0.000774593
06/01/2014,77.43,-0.007719066
03/01/2014,78.03,-0.002687658
02/01/2014,78.24,-0.00509945
