Date,Close,NU
04/04/2014,45.09,0.002664892
03/04/2014,44.97,0.002226181
02/04/2014,44.87,-0.005334531
01/04/2014,45.11,-0.008608375
31/03/2014,45.5,0.012161565
28/03/2014,44.95,0
27/03/2014,44.95,0.008489774
26/03/2014,44.57,-0.004477285
25/03/2014,44.77,0.000446828
24/03/2014,44.75,0.007401626
21/03/2014,44.42,0.008364466
20/03/2014,44.05,-0.008139317
19/03/2014,44.41,-0.018295914
18/03/2014,45.23,0.003321894
17/03/2014,45.08,0.004223636
14/03/2014,44.89,0.006257004
13/03/2014,44.61,0.015132982
12/03/2014,43.94,0.01328771
11/03/2014,43.36,-0.003223581
10/03/2014,43.5,-0.005730675
07/03/2014,43.75,0.005730675
06/03/2014,43.5,-0.00595922
05/03/2014,43.76,-0.00955204
04/03/2014,44.18,0.005219574
03/03/2014,43.95,-0.011312338
28/02/2014,44.45,0.009493742
27/02/2014,44.03,-0.004532072
26/02/2014,44.23,-0.004286527
25/02/2014,44.42,0.000225149
24/02/2014,44.41,-0.005389638
21/02/2014,44.65,-0.000447828
20/02/2014,44.67,0.005162171
19/02/2014,44.44,-0.010520522
18/02/2014,44.91,-0.001335114
14/02/2014,44.97,0.006245838
13/02/2014,44.69,0.006735544
12/02/2014,44.39,0.002932884
11/02/2014,44.26,0.010675854
10/02/2014,43.79,0.011252846
07/02/2014,43.3,0.009980354
06/02/2014,42.87,-0.005582708
05/02/2014,43.11,-0.008546073
04/02/2014,43.48,0.000690211
03/02/2014,43.45,-0.008022966
31/01/2014,43.8,0.007102791
30/01/2014,43.49,0.015759306
29/01/2014,42.81,-0.00349773
28/01/2014,42.96,0.00349773
27/01/2014,42.81,0.008916061
24/01/2014,42.43,-0.016363151
23/01/2014,43.13,-0.004857185
22/01/2014,43.34,0.006713765
21/01/2014,43.05,0.010742747
17/01/2014,42.59,0.008488615
16/01/2014,42.23,0.004509323
15/01/2014,42.04,-0.005929105
14/01/2014,42.29,-0.000945403
13/01/2014,42.33,-0.007531219
10/01/2014,42.65,0.017264234
09/01/2014,41.92,0.004303138
