Date,Close,OMC
04/04/2014,72.07,-0.003877584
03/04/2014,72.35,0.006100116
02/04/2014,71.91,-0.006238323
01/04/2014,72.36,-0.003311261
31/03/2014,72.6,0.00400249
28/03/2014,72.31,0.001937985
27/03/2014,72.17,-0.005940475
26/03/2014,72.6,0.008298803
25/03/2014,72,0.000138899
24/03/2014,71.99,-0.000971885
21/03/2014,72.06,-0.005259528
20/03/2014,72.44,0.009849563
19/03/2014,71.73,-0.017550371
18/03/2014,73,0.002743486
17/03/2014,72.8,0.007583628
14/03/2014,72.25,-0.000691802
13/03/2014,72.3,-0.01223467
12/03/2014,73.19,-0.00068292
11/03/2014,73.24,-0.004495614
10/03/2014,73.57,-0.025895322
07/03/2014,75.5,-0.000794386
06/03/2014,75.56,0.01064406
05/03/2014,74.76,-0.006267105
04/03/2014,75.23,0.010153728
03/03/2014,74.47,-0.016117565
28/02/2014,75.68,0.005299429
27/02/2014,75.28,-0.000531209
26/02/2014,75.32,-0.014236992
25/02/2014,76.4,0.00722499
24/02/2014,75.85,0.017153535
21/02/2014,74.56,-0.004816707
20/02/2014,74.92,-0.007049308
19/02/2014,75.45,-0.009366205
18/02/2014,76.16,0.002892836
14/02/2014,75.94,0.020622031
13/02/2014,74.39,0.020644493
12/02/2014,72.87,-0.001782409
11/02/2014,73,-0.015900315
10/02/2014,74.17,-0.000404394
07/02/2014,74.2,0.011249017
06/02/2014,73.37,0.017599794
05/02/2014,72.09,-0.000970537
04/02/2014,72.16,0.019874692
03/02/2014,70.74,-0.025678218
31/01/2014,72.58,-0.019105385
30/01/2014,73.98,0.020760101
29/01/2014,72.46,-0.009887474
28/01/2014,73.18,0.016811751
27/01/2014,71.96,-0.007614074
24/01/2014,72.51,-0.010972542
23/01/2014,73.31,-0.004355526
22/01/2014,73.63,-0.005823024
21/01/2014,74.06,-0.001888575
17/01/2014,74.2,-0.002019523
16/01/2014,74.35,-0.002015452
15/01/2014,74.5,0.007950989
14/01/2014,73.91,0.033010837
13/01/2014,71.51,-0.023631308
10/01/2014,73.22,0.013474699
09/01/2014,72.24,0.010156609
08/01/2014,71.51,-0.017191606
07/01/2014,72.75,0.010362787
06/01/2014,72,-0.024421573
03/01/2014,73.78,-0.002977401
02/01/2014,74,-0.004987542
31/12/2013,74.37,0.005122686
30/12/2013,73.99,0.007733571
27/12/2013,73.42,0.009304939
26/12/2013,72.74,0.012589223
24/12/2013,71.83,0.008668958
23/12/2013,71.21,-0.003784432
20/12/2013,71.48,-0.015547232
19/12/2013,72.6,0.028643244
18/12/2013,70.55,0.010114767
