Date,Close,R
04/04/2014,80.45,-0.015418128
03/04/2014,81.7,-0.000734125
02/04/2014,81.76,0.006011182
01/04/2014,81.27,0.01675081
31/03/2014,79.92,0.015255922
28/03/2014,78.71,0.018076257
27/03/2014,77.3,-0.008117032
26/03/2014,77.93,-0.011228905
25/03/2014,78.81,-0.00038059
24/03/2014,78.84,0.001777327
21/03/2014,78.7,0.003819228
20/03/2014,78.4,0.001148619
19/03/2014,78.31,-0.000765892
18/03/2014,78.37,0.005373606
17/03/2014,77.95,0.009279613
14/03/2014,77.23,0.008974503
13/03/2014,76.54,-0.008456435
12/03/2014,77.19,0.003894086
11/03/2014,76.89,-0.010736795
10/03/2014,77.72,-0.002056556
07/03/2014,77.88,0.004504222
06/03/2014,77.53,0.006340191
05/03/2014,77.04,0.008603886
04/03/2014,76.38,0.025861795
03/03/2014,74.43,-0.011886617
28/02/2014,75.32,0.012693069
27/02/2014,74.37,0.018182319
26/02/2014,73.03,-0.003144442
25/02/2014,73.26,-0.007208464
24/02/2014,73.79,0.014331782
21/02/2014,72.74,0.012867697
20/02/2014,71.81,0.012189293
19/02/2014,70.94,-0.008142682
18/02/2014,71.52,-0.002513617
14/02/2014,71.7,0.009388425
13/02/2014,71.03,-0.007433936
12/02/2014,71.56,0.002238389
11/02/2014,71.4,0.008862687
10/02/2014,70.77,-0.009282767
07/02/2014,71.43,0.016372984
06/02/2014,70.27,0.020995882
05/02/2014,68.81,-0.010265398
04/02/2014,69.52,0.0109923
03/02/2014,68.76,-0.034730179
31/01/2014,71.19,-0.008114202
30/01/2014,71.77,0.008957373
29/01/2014,71.13,-0.004488716
28/01/2014,71.45,0.008856458
27/01/2014,70.82,-0.014856615
24/01/2014,71.88,-0.031226859
23/01/2014,74.16,-0.00926119
22/01/2014,74.85,0.001738317
21/01/2014,74.72,0.005636842
17/01/2014,74.3,0.012732124
16/01/2014,73.36,-0.002586619
15/01/2014,73.55,0.014654785
14/01/2014,72.48,0.006783441
13/01/2014,71.99,-0.013932221
10/01/2014,73,0.011573565
09/01/2014,72.16,-0.005803526
08/01/2014,72.58,0.003450421
07/01/2014,72.33,0.010143907
06/01/2014,71.6,-0.016483509
